,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Büyükdere Cad.,Metro City Is Merkezi A Blok No: 171 Kat: 17 Levent - Sisli,Istanbul,Turkey,90 212 344 12 88,90 212 344 12 86,https://www.avrasyagyo.com.tr,REIT—Specialty,Real Estate,"Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi operates in the real estate investment field in Turkey and Georgia. Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi was founded in 1994 and is based in Istanbul, Turkey.",6,"{'maxAge': 1, 'name': 'Mr. Can  Disli', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.33,8.21,7.9,8.47,8.33,8.21,7.9,8.47,1152230400,0.0,1.28125,4.1458335,2006514,2006514,4009350,5326518,5326518,7.95,7.96,0,0,888336000,2.7,10.25,38.496483,7.7852,4.6647,0.0,0.0,TRY,869659904,9.68914,58096160,111600000,0.51443,0.0,6.501,1.224427,1672444800,1703980800,1688083200,223584320,1.92,155:100,1614124800,37.687,44.311,IST,EQUITY,AVGYO.IS,AVGYO.IS,AVRASYA GMYO,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi,957940200,Europe/Istanbul,TRT,10800000,7.96,none,18019480,0.162,19626360,0,3.926,4.156,23075770,0.21,0.021070002,0.40194,19621320,-7396223,1702210,0.361,0.93471,0.85052,0.83804,TRY,
1,Büyükdere Cad.,Metro City Is Merkezi A Blok No: 171 Kat: 17 Levent - Sisli,Istanbul,Turkey,90 212 344 12 88,90 212 344 12 86,https://www.avrasyagyo.com.tr,REIT—Specialty,Real Estate,"Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi operates in the real estate investment field in Turkey and Georgia. Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi was founded in 1994 and is based in Istanbul, Turkey.",6,"{'maxAge': 1, 'name': 'Ms. Ceren  Desen', 'age': 32, 'title': 'Investor Relations Mang.', 'yearBorn': 1990, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.33,8.21,7.9,8.47,8.33,8.21,7.9,8.47,1152230400,0.0,1.28125,4.1458335,2006514,2006514,4009350,5326518,5326518,7.95,7.96,0,0,888336000,2.7,10.25,38.496483,7.7852,4.6647,0.0,0.0,TRY,869659904,9.68914,58096160,111600000,0.51443,0.0,6.501,1.224427,1672444800,1703980800,1688083200,223584320,1.92,155:100,1614124800,37.687,44.311,IST,EQUITY,AVGYO.IS,AVGYO.IS,AVRASYA GMYO,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi,957940200,Europe/Istanbul,TRT,10800000,7.96,none,18019480,0.162,19626360,0,3.926,4.156,23075770,0.21,0.021070002,0.40194,19621320,-7396223,1702210,0.361,0.93471,0.85052,0.83804,TRY,
