,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. David Charles Dauch', 'age': 57, 'title': 'Chairman & CEO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 7867501, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
1,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. Michael Joseph Lynch', 'age': 58, 'title': 'Pres & COO', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1898954, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
2,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. Christopher John May', 'age': 52, 'title': 'Exec. VP & CFO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2429309, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
3,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. James G. Zaliwski', 'age': 50, 'title': 'Chief Accounting Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
4,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. Donald E. Wright', 'title': 'Chief Information Officer & VP', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
5,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'David H. Lim', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
6,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. David Eugene Barnes', 'age': 63, 'title': 'Chief Compliance Officer & Corp. Sec.', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
7,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. Matthew Keats Paroly', 'age': 56, 'title': 'VP & Gen. Counsel', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
8,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Mr. Christopher M. Son', 'title': 'VP of Marketing & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
9,One Dauch Drive,Detroit,MI,48211-1198,United States,313 758 2000,https://www.aam.com,Auto Parts,Auto Parts,Consumer Cyclical,Consumer Cyclical,"American Axle & Manufacturing Holdings, Inc., together with its subsidiaries, designs, engineers, and manufactures driveline and metal forming technologies that supports electric, hybrid, and internal combustion vehicles. It operates through Driveline and Metal Forming segments. The Driveline segment offers front and rear axles, driveshafts, differential assemblies, clutch modules, balance shaft systems, disconnecting driveline technology, and electric and hybrid driveline products and systems for light trucks, sport utility vehicles, crossover vehicles, passenger cars, and commercial vehicles. The Metal Forming segment provides range of products, such as engine, transmission, driveline, and safety-critical components for traditional internal combustion engine and electric vehicle architectures including light vehicles, commercial vehicles, and off-highway vehicles, as well as products for industrial markets. It operates across Brazil, China, Czech Republic, England, France, Germany, India, Japan, Luxembourg, Mexico, Poland, Romina, Scotland, South Korea, Spain, Sweden, Thailand, and United States of America. The company was founded in 1994 and is headquartered in Detroit, Michigan.",19000,"{'maxAge': 1, 'name': 'Ms. Terri M. Kemp', 'age': 56, 'title': 'Sr. VP of HR & Sustainability', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",6,5,5,4,5,1693526400,1672444800,86400,2,7.58,7.52,7.49,7.72,7.58,7.52,7.49,7.72,1228348800,0.0,2.319502,21.57143,9.556962,2057740,2057740,1186811,1477470,1477470,7.53,7.54,2200,900,883787904,6.61,11.19,0.14748234,8.1848,8.1544,0.0,0.0,USD,3349787136,0.00723,114335132,117058000,2122752,2123119,1690761600,1693440000,0.018099999,0.03156,0.91996,1.8,0.026199998,117058000,5.506,1.3712314,1672444800,1703980800,1688083200,-0.651,41500000,0.35,0.79,2.11,0.559,4.832,-0.15263748,0.14113986,0.02,1228348800,NYQ,EQUITY,AXL,AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",917620200,America/New_York,EDT,0d2e5fdc-1cfe-33ac-b1c3-1ff0346e5cc8,finmb_24704,-14400000,7.55,12.0,8.0,9.25,9.0,2.8,hold,8,515600000,4.405,693200000,2981600000,1.165,1.71,5992500224,462.407,51.951,0.021949999,0.07774,665800000,299375008,398600000,-0.645,0.092,0.10819,0.11568,0.03304,USD,
