,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Stuart Peter Tonkin BEng(Hons)', 'age': 46, 'title': 'CEO, MD & Director', 'yearBorn': 1976, 'fiscalYear': 2023, 'totalPay': 2416674, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
1,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Ryan P. Gurner ACA, B.Com., B.Comm, B.Sc.', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 863127, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
2,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Simon A. Jessop', 'title': 'Chief Operating Officer', 'fiscalYear': 2023, 'totalPay': 1212728, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
3,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Ms. Hilary  Macdonald L.L.B., LLB (HONS)', 'title': 'Chief Legal Officer & Company Sec.', 'fiscalYear': 2023, 'totalPay': 753336, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
4,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Steven Paul McClare', 'title': 'Chief Technical Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
5,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Ms. Sophie  Spartalis', 'title': 'Gen. Mang. of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
6,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Ms. Marianne  Dravnieks', 'title': 'Exec. Mang. People & Culture', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
7,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Michael Geoffrey Mulroney BAppSc Geol., M.B.A., MAusIMM, MBA', 'age': 63, 'title': 'Chief Devel. Officer', 'yearBorn': 1959, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
8,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Daniel  Howe', 'title': 'Chief Geological Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
9,500 Hay Street,Level 4,Subiaco,WA,6008,Australia,61 8 6188 2100,61 8 6188 2111,https://www.nsrltd.com,Gold,Basic Materials,"Northern Star Resources Limited engages in the exploration, development, mining, and processing of gold deposits. It also sells refined gold. It operates in Western Australia, the Northern Territory, and Alaska. The company was incorporated in 2000 and is headquartered in Subiaco, Australia.","{'maxAge': 1, 'name': 'Ms. Sarah  Reilly B.A., L.L.B.', 'title': 'Sr. Legal Counsel & Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,3,6,1,1,1693526400,1703980800,86400,2,11.31,11.47,11.35,11.51,11.31,11.47,11.35,11.51,0.27,0.0234,1693872000,0.4473,1.6,0.532282,22.98,15.527026,6065601,6065601,4213853,3561084,3561084,11.45,11.49,0,0,13233032192,6.93,14.44,3.203271,11.4944,12.10645,0.265,0.02343059,AUD,13195281408,0.14166,1146732322,1151699968,0.01219,0.51929003,7.387,1.5554352,1688083200,1719705600,1688083200,2.066,585200000,0.5,0.74,1.06,1:1,1252540800,3.194,6.93,ASX,EQUITY,NST.AX,NST.AX,NTH STAR FPO,Northern Star Resources Limited,1071615600,Australia/Sydney,AEST,36000000,11.49,15.0,10.5,12.79,12.8,2.4,buy,14,1133299968,0.985,1904000000,1322099968,2.08,3.301,4131099904,15.584,3.585,0.04508,0.06996,1039400000,349000000,1351500032,2.064,0.124,0.2516,0.46089,0.2051,AUD,
