,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"No. 100, Xinjiang Road",Yangmei District,Taoyuan City,326,Taiwan,886 3 478 3121,886 3 475 4318,https://www.kian-shen.com,Auto Parts,Consumer Cyclical,"Kian Shen Corporation manufactures and sells automobile parts. It offers truck/bus frames, electric scooter frames, stamping parts, rear body parts, dies and jigs, suspension components, and high tensile steel products. The company was founded in 1955 and is based in Taoyuan City, Taiwan.","{'maxAge': 1, 'name': 'Mr. Chiung-Chih  Tseng', 'title': 'GM & Representative Juristic Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,80.1,80.2,79.0,80.8,80.1,80.2,79.0,80.8,2.1,0.026300002,1689724800,0.39180002,3.42,0.759973,14.925373,13.698629,103332,103332,510363,248646,248646,80.0,80.3,0,0,5872007680,50.7,129.5,3.4249537,90.108,77.12,2.1,0.026217228,TWD,4596350976,0.22975,73400096,0.86236,0.0,62.589,1.2781799,1672444800,1703980800,1688083200,-0.12,393908000,5.36,5.84,1060:1000,1473724800,2.681,33.19,TAI,EQUITY,1525.TW,1525.TW,KIANSHEN CORP,Kian Shen Corporation,946947600,Asia/Taipei,CST,28800000,80.0,none,1344496000,18.317,138486000,68839000,2.175,2.69,1714477952,1.498,23.358,0.00875,0.08665,-26793000,-30203000,-0.121,0.175,0.11305001,0.08076999,0.04586,TWD,
1,"No. 100, Xinjiang Road",Yangmei District,Taoyuan City,326,Taiwan,886 3 478 3121,886 3 475 4318,https://www.kian-shen.com,Auto Parts,Consumer Cyclical,"Kian Shen Corporation manufactures and sells automobile parts. It offers truck/bus frames, electric scooter frames, stamping parts, rear body parts, dies and jigs, suspension components, and high tensile steel products. The company was founded in 1955 and is based in Taoyuan City, Taiwan.","{'maxAge': 1, 'name': 'Te-Hsiang  Yu', 'title': 'VP & Chief Information Security Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,80.1,80.2,79.0,80.8,80.1,80.2,79.0,80.8,2.1,0.026300002,1689724800,0.39180002,3.42,0.759973,14.925373,13.698629,103332,103332,510363,248646,248646,80.0,80.3,0,0,5872007680,50.7,129.5,3.4249537,90.108,77.12,2.1,0.026217228,TWD,4596350976,0.22975,73400096,0.86236,0.0,62.589,1.2781799,1672444800,1703980800,1688083200,-0.12,393908000,5.36,5.84,1060:1000,1473724800,2.681,33.19,TAI,EQUITY,1525.TW,1525.TW,KIANSHEN CORP,Kian Shen Corporation,946947600,Asia/Taipei,CST,28800000,80.0,none,1344496000,18.317,138486000,68839000,2.175,2.69,1714477952,1.498,23.358,0.00875,0.08665,-26793000,-30203000,-0.121,0.175,0.11305001,0.08076999,0.04586,TWD,
