,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Bang Pa-In Industrial Estate,"144 Moo 16, Udomsorayuth Road Tambol Bangkrasan Amphur Bang pa-in",Phra Nakhon Si Ayutthaya,13160,Thailand,66 35 259 131,66 35 259 130,https://www.qcon.co.th,Building Products & Equipment,Industrials,"Quality Construction Products Public Company Limited, together with its subsidiary, produces and distributes autoclaved aerated concrete blocks, reinforced wall panels, floor panels, and lintels for construction uses in Thailand and internationally. It also offers aerated brick, prefabricated lintel beams, prefabricated countertop plate, ladder system, aerated brick plaster, and tools and equipment. The company was founded in 1994 and is based in Phra Nakhon Si Ayutthaya, Thailand. Quality Construction Products Public Company Limited is a subsidiary of SCG Building Materials Company Limited.","{'maxAge': 1, 'name': 'Mr. Narongvate  Vajanapanich', 'title': 'MD & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.2,14.2,13.9,14.3,14.2,14.2,13.9,14.3,0.75,0.055999998,1680220800,0.5725,0.162234,10.610687,278400,278400,0,0,0,13.9,14.0,0,0,5767457280,5.2,14.3,2.0631082,13.4,12.191,0.75,0.0528169,THB,4447413248,0.18693,69312000,400000000,0.00086000003,0.0,5.482,2.5355709,1672444800,1703980800,1688083200,2.035,522572448,1.31,1.591,5.669,SET,EQUITY,Q-CON-R.BK,Q-CON-R.BK,Q-CON_QUALITY CONSTRUCTION,Quality Construction Products Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,13.9,none,1163181952,2.908,784475584,50595000,3.369,3.873,2795518720,2.307,7.024,0.15994,0.2511,548926848,454103840,615743104,2.0,0.471,0.29384002,0.28062,0.23542999,THB,
1,Bang Pa-In Industrial Estate,"144 Moo 16, Udomsorayuth Road Tambol Bangkrasan Amphur Bang pa-in",Phra Nakhon Si Ayutthaya,13160,Thailand,66 35 259 131,66 35 259 130,https://www.qcon.co.th,Building Products & Equipment,Industrials,"Quality Construction Products Public Company Limited, together with its subsidiary, produces and distributes autoclaved aerated concrete blocks, reinforced wall panels, floor panels, and lintels for construction uses in Thailand and internationally. It also offers aerated brick, prefabricated lintel beams, prefabricated countertop plate, ladder system, aerated brick plaster, and tools and equipment. The company was founded in 1994 and is based in Phra Nakhon Si Ayutthaya, Thailand. Quality Construction Products Public Company Limited is a subsidiary of SCG Building Materials Company Limited.","{'maxAge': 1, 'name': 'Ms. Krongboon  Sopawanit', 'title': 'Admin. Director & CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,14.2,14.2,13.9,14.3,14.2,14.2,13.9,14.3,0.75,0.055999998,1680220800,0.5725,0.162234,10.610687,278400,278400,0,0,0,13.9,14.0,0,0,5767457280,5.2,14.3,2.0631082,13.4,12.191,0.75,0.0528169,THB,4447413248,0.18693,69312000,400000000,0.00086000003,0.0,5.482,2.5355709,1672444800,1703980800,1688083200,2.035,522572448,1.31,1.591,5.669,SET,EQUITY,Q-CON-R.BK,Q-CON-R.BK,Q-CON_QUALITY CONSTRUCTION,Quality Construction Products Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,13.9,none,1163181952,2.908,784475584,50595000,3.369,3.873,2795518720,2.307,7.024,0.15994,0.2511,548926848,454103840,615743104,2.0,0.471,0.29384002,0.28062,0.23542999,THB,
