,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. Kevin Patrick Reilly Jr.', 'age': 67, 'title': 'Exec. Chairman', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 768217, 'exercisedValue': 5559000, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
1,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. Sean E. Reilly', 'age': 60, 'title': 'CEO & Pres', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 2185834, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
2,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. Jay Lecoryelle Johnson', 'age': 45, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 1312900, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
3,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Micky  Vint', 'title': 'Exec. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
4,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. Sukhvinder  Singh', 'age': 51, 'title': 'Sr. VP of Technology and Innovation', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
5,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. James R. McIlwain', 'title': 'Sec. & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
6,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. John M. Miller', 'title': 'Exec. VP of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
7,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Ms. Tammy  Duncan', 'title': 'Exec. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
8,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Hal  Kilshaw', 'title': 'Exec. VP of Gov.al Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
9,5321 Corporate Boulevard,Baton Rouge,LA,70808,United States,225 926 1000,225 926 1005,https://www.lamar.com,REIT—Specialty,REIT—Specialty,Real Estate,Real Estate,"Lamar Advertising Company operates as an outdoor advertising company in North America. It operates approximately 363,000 displays across the United States and Canada. It offers advertisers a range of billboard, interstate logo, transit, and airport advertising formats helping local businesses and national brands. The company was founded in 1902 and is based in Baton Rouge, Louisiana.",3500,"{'maxAge': 1, 'name': 'Mr. Lee  Kantrow Jr.', 'age': 47, 'title': 'Exec. VP of Bus. Devel.', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",9,10,5,10,10,1693526400,1672444800,86400,2,86.5,86.47,85.1,86.4817,86.5,86.47,85.1,86.4817,5.0,0.0585,1694736000,1.1951001,4.26,1.40733,20.853659,16.569767,968322,968322,418698,446740,446740,85.02,85.38,1100,900,8947061760,81.1,111.49,4.3031063,93.015,97.2884,4.9,0.0566474,USD,13530064896,0.20149,86735618,87540200,2443632,1987856,1690761600,1693440000,0.024,0.00871,0.94798,5.13,0.033,104644000,11.475,7.45098,1672444800,1703980800,1688083200,-0.027,418587008,4.1,5.16,6.16,3:2,888796800,6.507,14.491,-0.080150604,0.14113986,1.25,1694736000,NMS,EQUITY,LAMR,LAMR,Lamar Advertising Company,Lamar Advertising Company,838992600,America/New_York,EDT,fb36e1ad-4006-3d4b-98b3-7f996e35d996,finmb_353253,-14400000,85.5,112.0,90.0,100.67,100.0,2.6,hold,3,47779000,0.469,933681024,4630369792,0.53,0.58,2079209984,395.591,20.435,0.05588,0.34794998,1369167000,495870240,775854976,-0.03,0.045,0.67151,0.44906,0.27526,USD,
