,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"No. 3, Savithri Shanmugam Road",Race Course,Coimbatore,641018,India,91 42 2222 0566,91 42 2222 2865,https://www.unitednilgiritea.com,Farm Products,Consumer Defensive,"The United Nilgiri Tea Estates Company Limited engages in growing, manufacturing, and selling teas in India. It offers black, special, green, herbal, and gift teas. The company is also involved in letting-out of properties. It also exports its products to Australia, Congo, Canada, Germany, the Netherlands, Denmark, Finland, Japan, the United States, and the United Kingdom. The company was incorporated in 1922 and is based in Coimbatore, India.","{'maxAge': 1, 'name': 'Mr. Sankaranarayanan  Raghuraman Esq.', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,319.0,319.2,315.65,325.15,319.0,319.2,315.65,325.15,2.7,0.0085,1689292800,0.1,0.9,0.28125,11.793779,4791,4791,13454,27607,27607,0.0,0.0,0,0,1591657344,256.0,370.0,2.0001526,302.634,283.45526,0.0,0.0,INR,1325179008,0.16956,2506728,4996570,374.448,0.8507189,1680220800,1711843200,1688083200,0.398,134928000,27.01,1.665,9.574,NSI,EQUITY,UNITEDTEA.NS,UNITEDTEA.NS,UNITED NILGIRI TEA,The United Nilgiri Tea Estates Company Limited,1262922300,Asia/Kolkata,IST,19800000,318.55,none,267176000,53.448,138420256,0,795768000,159.248,0.397,-0.174,0.73642,0.17395,0.12755,INR,
1,"No. 3, Savithri Shanmugam Road",Race Course,Coimbatore,641018,India,91 42 2222 0566,91 42 2222 2865,https://www.unitednilgiritea.com,Farm Products,Consumer Defensive,"The United Nilgiri Tea Estates Company Limited engages in growing, manufacturing, and selling teas in India. It offers black, special, green, herbal, and gift teas. The company is also involved in letting-out of properties. It also exports its products to Australia, Congo, Canada, Germany, the Netherlands, Denmark, Finland, Japan, the United States, and the United Kingdom. The company was incorporated in 1922 and is based in Coimbatore, India.","{'maxAge': 1, 'name': 'Mr. R. V. Sridharan', 'title': 'Company Sec. & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,319.0,319.2,315.65,325.15,319.0,319.2,315.65,325.15,2.7,0.0085,1689292800,0.1,0.9,0.28125,11.793779,4791,4791,13454,27607,27607,0.0,0.0,0,0,1591657344,256.0,370.0,2.0001526,302.634,283.45526,0.0,0.0,INR,1325179008,0.16956,2506728,4996570,374.448,0.8507189,1680220800,1711843200,1688083200,0.398,134928000,27.01,1.665,9.574,NSI,EQUITY,UNITEDTEA.NS,UNITEDTEA.NS,UNITED NILGIRI TEA,The United Nilgiri Tea Estates Company Limited,1262922300,Asia/Kolkata,IST,19800000,318.55,none,267176000,53.448,138420256,0,795768000,159.248,0.397,-0.174,0.73642,0.17395,0.12755,INR,
2,"No. 3, Savithri Shanmugam Road",Race Course,Coimbatore,641018,India,91 42 2222 0566,91 42 2222 2865,https://www.unitednilgiritea.com,Farm Products,Consumer Defensive,"The United Nilgiri Tea Estates Company Limited engages in growing, manufacturing, and selling teas in India. It offers black, special, green, herbal, and gift teas. The company is also involved in letting-out of properties. It also exports its products to Australia, Congo, Canada, Germany, the Netherlands, Denmark, Finland, Japan, the United States, and the United Kingdom. The company was incorporated in 1922 and is based in Coimbatore, India.","{'maxAge': 1, 'name': 'R.  Rajkumar', 'title': 'Whole-Time Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,319.0,319.2,315.65,325.15,319.0,319.2,315.65,325.15,2.7,0.0085,1689292800,0.1,0.9,0.28125,11.793779,4791,4791,13454,27607,27607,0.0,0.0,0,0,1591657344,256.0,370.0,2.0001526,302.634,283.45526,0.0,0.0,INR,1325179008,0.16956,2506728,4996570,374.448,0.8507189,1680220800,1711843200,1688083200,0.398,134928000,27.01,1.665,9.574,NSI,EQUITY,UNITEDTEA.NS,UNITEDTEA.NS,UNITED NILGIRI TEA,The United Nilgiri Tea Estates Company Limited,1262922300,Asia/Kolkata,IST,19800000,318.55,none,267176000,53.448,138420256,0,795768000,159.248,0.397,-0.174,0.73642,0.17395,0.12755,INR,
