,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,ebitda,totalDebt,quickRatio,currentRatio,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3609 Hammerkop Drive,North Las Vegas,NV,89084,United States,415-841-3570,https://www.xsovt.com,Shell Companies,Financial Services,"Xsovt Brands, Inc. operates as a footwear designer in the United States. The company engages in the design, comfort, and construction of shoes and slippers for men, women, and children. It sells its products under the Xsovt brand. The company was founded in 2004 and is based in North Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Avi M. Koschitzki', 'age': 47, 'title': 'Founder, CEO, Pres & Director', 'yearBorn': 1975, 'fiscalYear': 2010, 'totalPay': 26404, 'exercisedValue': 0, 'unexercisedValue': 0}",1293753600,86400,4,0.52,0.5895,0.52,0.52,0.52,0.5895,0.52,0.52,0.0,13.587136,1100,1100,421,0,0,10222160,0.2178,1.81,0.5508892,0.7487031,0.0,0.0,USD,10894836,0.0,19658000,-0.076,1293753600,1325289600,1309392000,-681774,-0.1,1:12,1297036800,-18.465,PNK,EQUITY,XSVT,XSVT,XSOVT BRANDS INC,"Xsovt Brands, Inc.",1288877400,America/New_York,EDT,-14400000,0.52,none,-590016,658628,0.002,0.035,-636864,0.0,0.0,0.0,USD,
1,3609 Hammerkop Drive,North Las Vegas,NV,89084,United States,415-841-3570,https://www.xsovt.com,Shell Companies,Financial Services,"Xsovt Brands, Inc. operates as a footwear designer in the United States. The company engages in the design, comfort, and construction of shoes and slippers for men, women, and children. It sells its products under the Xsovt brand. The company was founded in 2004 and is based in North Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Arthur E. Nathan', 'age': 71, 'title': 'Chief People Officer and Exec. VP', 'yearBorn': 1951, 'exercisedValue': 0, 'unexercisedValue': 0}",1293753600,86400,4,0.52,0.5895,0.52,0.52,0.52,0.5895,0.52,0.52,0.0,13.587136,1100,1100,421,0,0,10222160,0.2178,1.81,0.5508892,0.7487031,0.0,0.0,USD,10894836,0.0,19658000,-0.076,1293753600,1325289600,1309392000,-681774,-0.1,1:12,1297036800,-18.465,PNK,EQUITY,XSVT,XSVT,XSOVT BRANDS INC,"Xsovt Brands, Inc.",1288877400,America/New_York,EDT,-14400000,0.52,none,-590016,658628,0.002,0.035,-636864,0.0,0.0,0.0,USD,
