,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. Kevin D. Hochman', 'age': 48, 'title': 'Pres, CEO & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 326285, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
1,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. Joseph G. Taylor', 'age': 63, 'title': 'Exec. VP & CFO', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 696502, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
2,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. Pankaj K. Patra', 'age': 45, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
3,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Ms. Mika  Ware', 'title': 'VP of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
4,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. Daniel S. Fuller', 'age': 39, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
5,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. George S. Felix', 'age': 42, 'title': 'Sr. VP & Chief Marketing Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
6,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Ms. Aaron M. White', 'age': 45, 'title': 'Exec. VP & Chief People Officer', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
7,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. Douglas N. Comings', 'age': 49, 'title': ""Sr. VP & Co-COO of Chili's Grill & Bar"", 'yearBorn': 1973, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
8,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. Larry  Konecny', 'title': ""VP & Chief Concept Officer of Maggiano's Little Italy"", 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
9,3000 Olympus Boulevard,Dallas,TX,75019,United States,972 980 9917,https://brinker.com,Restaurants,Consumer Cyclical,"Brinker International, Inc., together with its subsidiaries, engages in the ownership, development, operation, and franchising of casual dining restaurants in the United States and internationally. It operates and franchises Chili's Grill & Bar and Maggiano's Little Italy restaurant brands. The company also operates virtual brands, It's Just Wings. Brinker International, Inc. was founded in 1975 and is headquartered in Dallas, Texas.",64323,"{'maxAge': 1, 'name': 'Mr. James  Butler', 'title': 'Sr. VP & Chief Supply Chain Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,2,1,1,1693526400,1672444800,86400,2,32.36,32.23,31.215,32.3,32.36,32.23,31.215,32.3,1583366400,0.0,2.384163,14.153153,8.290237,1189650,1189650,983290,1165460,1165460,31.42,31.38,1100,900,1402227456,23.94,42.12,0.33925954,35.7782,36.7706,0.0,0.0,USD,3547726848,0.024820002,41064006,44628500,4748745,5036165,1690761600,1693440000,0.106400006,0.02157,1.13989,4.24,0.1901,-3.235,1687910400,1719532800,1687910400,0.348,102600000,2.22,3.79,0.81,3:2,1164931200,0.858,10.377,NYQ,EQUITY,EAT,EAT,"Brinker International, Inc.","Brinker International, Inc.",442247400,America/New_York,EDT,-14400000,31.42,45.0,31.0,38.63,38.0,2.9,hold,16,15100000,0.338,341900000,2160600064,0.142,0.342,4133199872,93.723,0.0436,500100000,79862496,256300000,0.322,0.053,0.12100001,0.082720004,0.041950002,USD,
