,address1,address2,city,state,zip,country,phone,website,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,25807 Westheimer Parkway,Suite 301,Katy,TX,77494,United States,866-601-2639,https://minercoinc.com,28,"{'maxAge': 1, 'name': 'Julius  Jenge', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,62.14834,103333,103333,4792,0,0,0.0099,0.014,5000,5000,1449,1e-06,0.0001,0.0008399411,1e-05,7.165e-05,0.0,0.0,USD,854457,-2.6248002,144976992,0.0,1.0000001e-05,-0.062,1438300800,1469923200,1454198400,-4720919,-0.0,1:100,1443744000,0.495,-0.226,PNK,EQUITY,MINE,MINE,MINERCO INC,"Minerco, Inc.",1267626600,America/New_York,EDT,-14400000,1e-06,none,345,0.0,-3777128,2369143,0.021,0.049,1725121,0.037,-1.11929,170074,1153228,-1793764,-0.735,-0.026400002,-2.18948,-2.23275,USD,
1,25807 Westheimer Parkway,Suite 301,Katy,TX,77494,United States,866-601-2639,https://minercoinc.com,28,"{'maxAge': 1, 'name': 'Mr. Milton  Murcia', 'title': 'Pres & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,62.14834,103333,103333,4792,0,0,0.0099,0.014,5000,5000,1449,1e-06,0.0001,0.0008399411,1e-05,7.165e-05,0.0,0.0,USD,854457,-2.6248002,144976992,0.0,1.0000001e-05,-0.062,1438300800,1469923200,1454198400,-4720919,-0.0,1:100,1443744000,0.495,-0.226,PNK,EQUITY,MINE,MINE,MINERCO INC,"Minerco, Inc.",1267626600,America/New_York,EDT,-14400000,1e-06,none,345,0.0,-3777128,2369143,0.021,0.049,1725121,0.037,-1.11929,170074,1153228,-1793764,-0.735,-0.026400002,-2.18948,-2.23275,USD,
