,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Alastair  Provan', 'title': 'Exec. Chairman & MD', 'fiscalYear': 2022, 'totalPay': 1044276, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
1,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Dean Andrew Davenport B. Bus., CA', 'title': 'Group COO & CFO', 'fiscalYear': 2022, 'totalPay': 591666, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
2,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Lewis M. Bell LLB, MBA', 'title': 'Head of Compliance of Bell Potter Securities Ltd', 'fiscalYear': 2022, 'totalPay': 389502, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
3,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Andrew George Bell', 'title': 'Exec. Director of Bell Potter Securities', 'fiscalYear': 2022, 'totalPay': 307133, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
4,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Rowan  Fell', 'title': 'Chief Exec. Officer of Bell Potter Capital Ltd', 'fiscalYear': 2022, 'totalPay': 880000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
5,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Joe  Tillig', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
6,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Ms. Cindy-Jane  Lee L.L.B., BEc, LLB, GAICD', 'title': 'Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
7,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Brendan  Goff', 'title': 'Group Head of Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
8,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. Dean  Surkitt', 'title': 'Managing Director of Retail of Bell Potter Securities Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
9,101 Collins Street,Level 29,Melbourne,VIC,3000,Australia,61 3 9256 8700,61 3 9235 1850,https://www.bellfg.com.au,Capital Markets,Capital Markets,Financial Services,Financial Services,"Bell Financial Group Limited provides online broking, investment, and financial advisory services to private, institutional, and corporate clients. It operates through four segments: Technology & Platforms, Products & Services, Retail, and Institutional. The company provides equities, futures, options and cash currency market, foreign exchange, corporate fees, portfolio administration, trading and investment, margin lending, and deposit products and services, as well as super lending and cash management services. It also develops proprietary technology, platforms, and products and services for the Australian stockbroking market. The company operates a network of 11 offices in Australia, as well as offices in New York, London, Hong Kong, and Kuala Lumpur. Bell Financial Group Limited was founded in 1970 and is based in Melbourne, Australia.",750,"{'maxAge': 1, 'name': 'Mr. James  Unger', 'title': 'Head of Corp. Fin. of Bell Potter Securities Ltd', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.07,0.0758,1693353600,0.814,7.52,1.274399,11.0,2870,2870,105201,84888,84888,0.995,1.0,0,0,317536576,0.82,1.12,1.3593233,1.0484,1.001525,0.075,0.07575758,AUD,113549512,0.11783,130087330,320744000,0.59029,0.0049900003,320744000,0.724,1.3674034,1672444800,1703980800,1688083200,0.199,27524000,0.09,0.486,-0.019801974,0.14113986,0.03,1693353600,ASX,EQUITY,BFG.AX,BFG.AX,BELL FN GP FPO,Bell Financial Group Limited,1197327600,Australia/Sydney,AEST,3fe25464-e536-3693-a507-1a1047ea889b,finmb_38942995,36000000,0.99,none,383448992,1.195,179462000,1.082,1.096,233599008,77.278,0.734,0.01827,0.119799994,205862000,-46268000,0.207,0.034,0.89809996,0.0,0.17063,AUD,
