,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Rottenbucher Strasse 28,Gräfelfing,82166,Germany,49 89 85852 0,49 89 85852505,https://www.mwbfairtrade.com,Capital Markets,Financial Services,"mwb fairtrade Wertpapierhandelsbank AG operates as a securities trading company in Germany. It provides order books for German and international securities, including equities, fixed income securities, and mutual funds. The company also offers capital market services, which includes issuance advice and listing, designated sponsorships, debt and equity capital markets, tokenized capital market, institutional customer care, and order execution services. mwb fairtrade Wertpapierhandelsbank AG was founded in 1993 and is headquartered in Gräfelfing, Germany.",67,"{'maxAge': 1, 'name': 'Mr. Carsten  Bokelmann', 'title': 'Member of Management Board for IR, Comm., Fin., Acc., Securities Settlement, HR, Org. & IT', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.33,3.32,3.32,3.32,3.33,3.32,3.32,3.32,0.16,0.048,1690156800,11.85,0.782282,Infinity,600,600,84,96,96,3.32,3.48,128500,122400,25324196,3.31,8.74,0.69927496,3.6074,4.9389,0.16,0.04804805,EUR,-1502993,-0.00956,2031591,7448820,0.0,0.00061,2.733,1.2147822,1672444800,1703980800,1688083200,-0.956,-346063,0.0,3:1,966816000,-0.042,FRA,EQUITY,MWB.F,MWB.F,MWB FAIRTRADE WPHDLSBK AG,mwb fairtrade Wertpapierhandelsbank AG,946882800,Europe/Berlin,CEST,7200000,3.32,none,40147788,5.39,13840228,10.497,10.595,36214932,67.828,3.647,-0.0054699997,-0.013350001,2.427,0.91248,0.0,0.29141,EUR,
1,Rottenbucher Strasse 28,Gräfelfing,82166,Germany,49 89 85852 0,49 89 85852505,https://www.mwbfairtrade.com,Capital Markets,Financial Services,"mwb fairtrade Wertpapierhandelsbank AG operates as a securities trading company in Germany. It provides order books for German and international securities, including equities, fixed income securities, and mutual funds. The company also offers capital market services, which includes issuance advice and listing, designated sponsorships, debt and equity capital markets, tokenized capital market, institutional customer care, and order execution services. mwb fairtrade Wertpapierhandelsbank AG was founded in 1993 and is headquartered in Gräfelfing, Germany.",67,"{'maxAge': 1, 'name': 'Mr. Kai  Jordan', 'title': 'Member of Management Board for Corp., Markets & Securities Trading', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.33,3.32,3.32,3.32,3.33,3.32,3.32,3.32,0.16,0.048,1690156800,11.85,0.782282,Infinity,600,600,84,96,96,3.32,3.48,128500,122400,25324196,3.31,8.74,0.69927496,3.6074,4.9389,0.16,0.04804805,EUR,-1502993,-0.00956,2031591,7448820,0.0,0.00061,2.733,1.2147822,1672444800,1703980800,1688083200,-0.956,-346063,0.0,3:1,966816000,-0.042,FRA,EQUITY,MWB.F,MWB.F,MWB FAIRTRADE WPHDLSBK AG,mwb fairtrade Wertpapierhandelsbank AG,946882800,Europe/Berlin,CEST,7200000,3.32,none,40147788,5.39,13840228,10.497,10.595,36214932,67.828,3.647,-0.0054699997,-0.013350001,2.427,0.91248,0.0,0.29141,EUR,
