,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,trailingEps,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,1415 Vantage Park Drive,3rd Floor,Charlotte,NC,28203,United States,833-568-4255,https://www.wellsfargoadvantagefunds.com/wfweb/wf/funds/cef/0EOD.jsp,Asset Management,Asset Management,Financial Services,Financial Services,"Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund is a closed-ended equity mutual fund launched and managed by Wells Fargo Funds Management, LLC. It is co-managed by Crow Point Partners, LLC and Wells Capital Management Incorporated. The fund invests in the public equity markets across the globe. It invests in stocks of companies operating across diversified sectors with an emphasis on utilities, telecom, and energy sectors. The fund primarily invests in dividend paying stocks of companies. Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund was formed on March 28, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': ""Mr. Timothy Paul O'Brien CFA"", 'age': 68, 'title': 'Portfolio Mang.', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.17,4.17,4.17,4.21,4.17,4.17,4.17,4.21,0.45,0.1084,1694390400,11.27,78666,78666,83861,93900,93900,4.17,4.2,1100,1200,180872768,4.05,5.11,4.375,4.4548,0.0,0.0,USD,0.0,43271000,83356,41149,1690761600,1693440000,0.0019,0.0,0.2765,1.11,43271000,-0.06,-0.12184876,0.14113986,0.106,1694390400,NYQ,EQUITY,EOD,EOD,Wells Fargo Global Dividend Opp,Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund,1175088600,America/New_York,EDT,685daad4-1d97-3a59-83a6-edfe7b666c93,finmb_31234984,-14400000,4.18,none,0.0,0.0,0.0,
1,1415 Vantage Park Drive,3rd Floor,Charlotte,NC,28203,United States,833-568-4255,https://www.wellsfargoadvantagefunds.com/wfweb/wf/funds/cef/0EOD.jsp,Asset Management,Asset Management,Financial Services,Financial Services,"Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund is a closed-ended equity mutual fund launched and managed by Wells Fargo Funds Management, LLC. It is co-managed by Crow Point Partners, LLC and Wells Capital Management Incorporated. The fund invests in the public equity markets across the globe. It invests in stocks of companies operating across diversified sectors with an emphasis on utilities, telecom, and energy sectors. The fund primarily invests in dividend paying stocks of companies. Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund was formed on March 28, 2007 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kandarp R. Acharya C.F.A., CFA, F.R.M., FRM', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.17,4.17,4.17,4.21,4.17,4.17,4.17,4.21,0.45,0.1084,1694390400,11.27,78666,78666,83861,93900,93900,4.17,4.2,1100,1200,180872768,4.05,5.11,4.375,4.4548,0.0,0.0,USD,0.0,43271000,83356,41149,1690761600,1693440000,0.0019,0.0,0.2765,1.11,43271000,-0.06,-0.12184876,0.14113986,0.106,1694390400,NYQ,EQUITY,EOD,EOD,Wells Fargo Global Dividend Opp,Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund,1175088600,America/New_York,EDT,685daad4-1d97-3a59-83a6-edfe7b666c93,finmb_31234984,-14400000,4.18,none,0.0,0.0,0.0,
