,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Mr. Masahiro  Moro', 'age': 62, 'title': 'Pres, CEO & Representative Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
1,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Mr. Jeffrey H.  Guyton', 'age': 55, 'title': 'Sr. Managing Exec. Officer, CFO & Representative Director', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
2,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Ichiro  Hirose', 'age': 62, 'title': 'Sr. Managing Exec. Officer, CTO & Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
3,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Mr. Akihiro  Kidani', 'age': 63, 'title': 'Managing Exec. Officer & Chief Information Officer', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
4,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Yasuhiro  Aoyama', 'age': 57, 'title': 'Sr. Managing Exec. Officers & Director', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
5,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Tetsuya  Fujimoto', 'age': 63, 'title': 'Sr. Managing Exec. Officer', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
6,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Makoto  Yoshihara', 'age': 62, 'title': 'Sr. Managing Exec. Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
7,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Takeshi  Mukai', 'age': 60, 'title': 'Sr. Managing Exec. Officer & Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
8,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Takeji  Kojima', 'age': 57, 'title': 'Sr. Managing Exec. Officer, CSO & Director', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
9,3-1 Shinchi,Fuchu-cho Aki-gun,Hiroshima,730-8670,Japan,81 82 282 1111,https://www.mazda.com,Auto Manufacturers,Consumer Cyclical,"Mazda Motor Corporation engages in the manufacture and sale of passenger cars and commercial vehicles in Japan, China, North America, Europe, and internationally. The company was formerly known as Toyo Kogyo Co., Ltd. and changed its name to Mazda Motor Corporation in May 1984. Mazda Motor Corporation was incorporated in 1920 and is headquartered in Hiroshima, Japan.",48481,"{'maxAge': 1, 'name': 'Mr. Ryuichi  Umeshita', 'title': 'Managing Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,1,7,1693526400,86400,2,5.86,5.88,5.86,5.9,5.86,5.88,5.86,5.9,0.16,0.0275,1680134400,0.17040001,1.073198,6.601124,2.9228857,66629,66629,58772,50530,50530,0.0,0.0,0,0,7414367232,3.07,6.02,0.001724071,5.007,4.4354,45.0,7.6791806,USD,-77050503168,0.03838,1115487814,1259929984,0.0,0.00028,1188.2736,0.0049441475,1680220800,1711843200,1688083200,1.483,165059002368,0.89,2.01,4:1,1407196800,-0.018,-0.257,PNK,EQUITY,MZDAY,MZDAY,MAZDA MOTOR CORP UNSP ADR EACH ,Mazda Motor Corporation,1287149400,America/New_York,EDT,-14400000,5.875,none,686109032448,544.465,299813011456,584278999040,0.706,1.436,4300500107264,38.571,3413.258,0.03765,0.116160005,196128374784,298327998464,1.483,0.768,0.20627001,0.06971,0.04453,JPY,
