,address1,address2,city,country,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Michael Philip Daly', 'title': 'Group CEO, MD & Director', 'fiscalYear': 2022, 'totalPay': 1506665, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
1,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Chris  Kinraid', 'title': 'Group Chief Financial Officer', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
2,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Jolann  van Dyk', 'title': 'Group Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
3,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Frances  Blundell', 'title': 'Chief Legal & ESG Officer and Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
4,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Linda  Barlow', 'title': 'Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
5,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Amy  Beck', 'title': 'Pres of Oboz /Kathmandu North America', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
6,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. Lachlan  Farran', 'title': 'Chief Commercial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
7,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mathieu  Lefin', 'title': 'Pres of KMD Brands - Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
8,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Ms. Megan  Welch', 'title': 'Chief Exec. Officer of Kathmandu', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
9,223 Tuam Street,Central Christchurch,Christchurch,New Zealand,https://www.kathmanduholdings.com,Apparel Manufacturing,Consumer Cyclical,"KMD Brands Limited, together with its subsidiaries, designs, markets, wholesales, and retails apparel, footwear, and equipment for surfing and the outdoors under the Kathmandu, Rip Curl, and Oboz brands in New Zealand, Australia, North America, Europe, Southeast Asia, and Brazil. The company was formerly known as Kathmandu Holdings Limited and changed its name to KMD Brands Limited in March 2022. KMD Brands Limited was founded in 1987 and is based in Christchurch, New Zealand.","{'maxAge': 1, 'name': 'Mr. John  Connelly', 'title': 'Founder, Pres & CEO of Oboz Footwear', 'exercisedValue': 0, 'unexercisedValue': 0}",6,8,8,7,9,1693526400,1672444800,86400,4,0.78,0.78,0.76,0.81,0.78,0.78,0.76,0.81,0.06,0.0769,1686700800,0.7895,0.857357,9.75,11.142857,19090034,19090034,1499433,3452657,3452657,0.77,0.81,1127600,268100,554851392,0.76,1.16,0.49521643,0.8842,1.02455,0.06,0.07692308,NZD,941862592,0.04912,594985315,711347968,0.1353,0.40412998,1.149,0.6788511,1659225600,1690761600,1675123200,55030000,0.08,0.07,1.26,0.841,7.74,NZE,EQUITY,KMD.NZ,KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,1250028000,Pacific/Auckland,NZST,43200000,0.78,1.25,1.02,1.13,1.15,2.0,buy,5,85620000,0.12,121694000,467972000,0.663,2.032,1120422016,56.925,1.578,0.03776,0.06889,576733000,92096000,120376000,0.345,0.59222,0.108610004,0.08126,NZD,
