,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Inkilap Mahallesi Kesim Sokak No: 1-3,Temas Plaza Kat: 9 No: 18 Uemraniye,Istanbul,Turkey,90 216 631 89 32,90 216 631 89 33,https://www.vkfyo.com.tr,Asset Management,Financial Services,"Vakif Menkul Kiymet Yatirim Ortakligi A.S. engages in the managing of capital market instruments portfolio in Turkey. The company was formerly known as Vakif B Tipi Menkul Kiymetler Yatirim Ortakligi A.S. and changed its name to Vakif Menkul Kiymet Yatirim Ortakligi A.S. in April 2014. The company was founded in 1991 and is headquartered in Istanbul, Turkey.",4,"{'maxAge': 1, 'name': 'Mr. Nuriddin Mehmet Ozkar', 'age': 50, 'title': 'Gen. Mang.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,26.9,28.0,24.5,29.24,26.9,28.0,24.5,29.24,0.04,0.0014,1698192000,0.0616,2.286569,103.833336,5111211,5111211,1471278,2339321,2339321,24.86,24.94,0,0,747600000,4.78,44.38,6.1677384,29.7232,14.2067,0.037,0.0013754647,TRY,705956800,0.058280002,18142500,30000000,0.62819,0.0,1.363,18.2832,1672444800,1703980800,1688083200,1.356,7063722,0.24,200:100,1323043200,5.824,99.619,IST,EQUITY,VKFYO.IS,VKFYO.IS,VAKIF YAT. ORT.,Vakif Menkul Kiymet Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,24.92,none,41697896,1.39,7086599,54726,155.405,155.888,121211368,0.134,4.04,0.11427,0.18871,9080051,3737701,6360141,1.356,-0.299,0.09824,0.05846,0.05829,TRY,
1,Inkilap Mahallesi Kesim Sokak No: 1-3,Temas Plaza Kat: 9 No: 18 Uemraniye,Istanbul,Turkey,90 216 631 89 32,90 216 631 89 33,https://www.vkfyo.com.tr,Asset Management,Financial Services,"Vakif Menkul Kiymet Yatirim Ortakligi A.S. engages in the managing of capital market instruments portfolio in Turkey. The company was formerly known as Vakif B Tipi Menkul Kiymetler Yatirim Ortakligi A.S. and changed its name to Vakif Menkul Kiymet Yatirim Ortakligi A.S. in April 2014. The company was founded in 1991 and is headquartered in Istanbul, Turkey.",4,"{'maxAge': 1, 'name': 'Ms. Ayse Sunay Gürsu', 'title': 'Investor Relations Unit Mang. and Vice Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,26.9,28.0,24.5,29.24,26.9,28.0,24.5,29.24,0.04,0.0014,1698192000,0.0616,2.286569,103.833336,5111211,5111211,1471278,2339321,2339321,24.86,24.94,0,0,747600000,4.78,44.38,6.1677384,29.7232,14.2067,0.037,0.0013754647,TRY,705956800,0.058280002,18142500,30000000,0.62819,0.0,1.363,18.2832,1672444800,1703980800,1688083200,1.356,7063722,0.24,200:100,1323043200,5.824,99.619,IST,EQUITY,VKFYO.IS,VKFYO.IS,VAKIF YAT. ORT.,Vakif Menkul Kiymet Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,24.92,none,41697896,1.39,7086599,54726,155.405,155.888,121211368,0.134,4.04,0.11427,0.18871,9080051,3737701,6360141,1.356,-0.299,0.09824,0.05846,0.05829,TRY,
