,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. Christopher J. Rondeau', 'age': 49, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2158446, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
1,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. Thomas J. Fitzgerald', 'age': 61, 'title': 'Chief Financial Officer', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 981330, 'exercisedValue': 0, 'unexercisedValue': 594756}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
2,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. William  Bode', 'title': 'Division Pres of U.S. Franchise', 'fiscalYear': 2022, 'totalPay': 638732, 'exercisedValue': 0, 'unexercisedValue': 1222205}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
3,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Ms. Jennifer  Simmons', 'age': 52, 'title': 'Division Pres of Corp. Clubs', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 480894, 'exercisedValue': 0, 'unexercisedValue': 141003}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
4,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. Edward  Hymes', 'age': 54, 'title': 'Pres & COO', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
5,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': ""Mr. Brian M. O'Donnell"", 'age': 43, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
6,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. Paul  Barber', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
7,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Ms. Stacey  Caravella', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
8,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. Justin  Vartanian', 'title': 'Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
9,4 Liberty Lane West,Hampton,NH,03842,United States,603 750 0001,https://www.planetfitness.com,Leisure,Consumer Cyclical,"Planet Fitness, Inc., together with its subsidiaries, franchises and operates fitness centers under the Planet Fitness brand. The company operates through three segments: Franchise, Corporate-Owned Stores, and Equipment. The Franchise segment is involved in franchising business in the United States, Puerto Rico, Canada, Panama, Mexico, and Australia. The Corporate-Owned Stores segment operates corporate-owned stores in the United States and Canada. The Equipment segment engages in the sale of fitness equipment to franchisee-owned stores in the United States and Canada. Planet Fitness, Inc. was founded in 1992 and is headquartered in Hampton, New Hampshire.",3137,"{'maxAge': 1, 'name': 'Mr. McCall  Gosselin', 'title': 'Sr. VP of Communications and Corp. Social Responsibility', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,6,8,6,1693526400,1672444800,86400,2,59.8,56.01,49.91,56.715,59.8,56.01,49.91,56.715,1479427200,0.0,1.301175,39.9127,19.568094,12670392,12670392,1466016,2129040,2129040,50.58,50.58,1300,900,4432646144,49.91,85.905,4.5696445,62.9406,72.5951,0.0,0.0,USD,6260751360,0.12828,77352150,84561000,4693351,5735063,1690761600,1693440000,0.0555,0.0046900003,1.05722,3.37,0.0556,-2.405,1672444800,1703980800,1688083200,0.841,124435000,1.26,2.57,0.14,6.454,15.55,NYQ,EQUITY,PLNT,PLNT,"Planet Fitness, Inc.","Planet Fitness, Inc.",1438867800,America/New_York,EDT,-14400000,50.29,100.0,54.0,78.59,78.0,1.8,buy,17,353908992,4.185,402632000,2376080896,1.511,1.842,970019968,11.526,0.0575,482075000,157921872,287273984,0.846,0.279,0.54483,0.41507998,0.27184,USD,
