,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Ms. Kelli F. Valade', 'age': 52, 'title': 'CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 977053, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
1,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Mr. Robert P. Verostek', 'age': 50, 'title': 'Exec. VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 758056, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
2,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Ms. Gail Sharps Myers', 'age': 52, 'title': 'Exec. VP, Chief Legal Officer & Sec.', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 760880, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
3,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Mr. Stephen C. Dunn', 'age': 57, 'title': 'Exec. VP & Chief Global Devel. Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 651714, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
4,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Mr. Alex  Williams', 'title': 'Sr. VP & Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
5,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Mr. Jay C. Gilmore', 'age': 53, 'title': 'SVP, Chief Accounting Officer & Corp. Controller', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
6,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Mr. Michael L. Furlow', 'age': 64, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1958, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
7,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Mr. Curtis L. Nichols Jr.', 'title': 'VP of Investor Relations and Financial Planning & Analysis', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
8,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Ms. Sherri  Landry', 'title': 'Sr. VP & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
9,203 East Main Street,Spartanburg,SC,29319-9966,United States,864 597 8000,https://www.dennys.com,Restaurants,Consumer Cyclical,"Denny's Corporation, through its subsidiaries, owns and operates franchised full-service restaurant chains under the Denny's and Keke's Breakfast Cafe brand in the United States and internationally. The company operates in two segments: Denny's and Other. The company was formerly known as Advantica Restaurant Group, Inc. and changed its name to Denny's Corporation in July 2002. Denny's Corporation was founded in 1953 and is headquartered in Spartanburg, South Carolina.",3700,"{'maxAge': 1, 'name': 'Stephanie  Davidson', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,1,4,1,1,1693526400,1672444800,86400,2,9.0,9.0,8.75,9.005,9.0,9.0,8.75,9.005,0.0,1.738589,12.797101,12.43662,836537,836537,527064,551360,551360,8.8,8.81,900,1400,489748000,8.66,13.13,1.0360849,10.3392,11.0695,0.0,0.0,USD,885172736,0.08248,52891105,55464100,1123954,1538599,1690761600,1693440000,0.020299999,0.04358,0.85324997,2.11,0.0247,-0.765,1672185600,1703721600,1687910400,-0.629,38989000,0.69,0.71,1.67,1.873,11.146,NCM,EQUITY,DENN,DENN,Denny's Corporation,Denny's Corporation,884269800,America/New_York,EDT,-14400000,8.83,16.0,12.0,13.57,14.0,2.4,buy,7,4205000,0.076,79414000,390200992,0.272,0.425,472691008,8.155,0.0938,172045000,55781124,65494000,-0.594,0.017,0.38325,0.168,0.13628,USD,1.2419
