,address1,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Robert D. Isom Jr.', 'age': 58, 'title': 'CEO, Pres & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1233649, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
1,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. David G. Seymour', 'age': 57, 'title': 'Exec. VP & COO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 786838, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
2,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Derek J. Kerr', 'age': 57, 'title': 'Vice Chair & Pres of American Eagle and Strategic Advisor', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 877489, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
3,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Stephen L. Johnson', 'age': 65, 'title': 'Chief Strategy Officer & Vice Chair', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 799108, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
4,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Devon E. May', 'age': 47, 'title': 'Exec. VP & CFO', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
5,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Ganesh  Jayaram', 'title': 'Exec. VP and Chief Digital & Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
6,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Scott  Long', 'title': 'Managing Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
7,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Ms. Priya R. Aiyar', 'age': 47, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
8,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Ronald J. Defeo', 'title': 'Sr. VP and Chief Communications & Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
9,1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,https://www.aa.com,Airlines,Airlines,Industrials,Industrials,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",132500,"{'maxAge': 1, 'name': 'Mr. Kenji  Hashimoto', 'title': 'Sr. VP of Fin. & Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,6,9,7,1693526400,1672444800,86400,2,13.26,13.22,13.21,13.4469,13.26,13.22,13.21,13.4469,1580774400,0.0,1.567081,3.421594,4.4966216,24469694,24469694,23750937,26468060,26468060,13.29,13.31,29200,21500,8696248320,11.65,19.08,0.16440898,15.8864,15.1509,0.0,0.0,USD,39185584128,0.0498,645149670,653361984,64752208,63229159,1690761600,1693440000,0.0991,0.01303,0.58465,2.89,0.1125,653361984,-6.712,1672444800,1703980800,1688083200,1.811,2633999872,3.89,2.96,0.04,0.741,5.244,-0.06333566,0.14113986,0.1,1580774400,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,13.31,26.0,9.0,17.22,17.5,2.8,hold,12,12060999680,18.46,7472999936,42582999040,0.581,0.749,52893999104,81.153,0.04808,11443000000,1205874944,4344999936,1.769,0.047,0.27905,0.14128,0.09833,USD,0.0577
