,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,777 Dunsmuir Street,Suite 1610,Vancouver,BC,V7Y 1K4,Canada,604-687-5800,604-563-6004,https://silverbullresources.com,Other Industrial Metals & Mining,Basic Materials,"Silver Bull Resources, Inc., an exploration stage company, acquires, explores, and develops mineral properties in Mexico, Kazakhstan, and Canada. The company primarily explores for silver, lead, and zinc deposits. Its principal project is the Sierra Mojada property comprising 20 concessions covering an area of 6,496 hectares located in Coahuila, Mexico. The company was formerly known as Metalline Mining Company and changed its name to Silver Bull Resources, Inc. in April 2011. Silver Bull Resources, Inc. was incorporated in 1993 and is based in Vancouver, Canada.",5,"{'maxAge': 1, 'name': 'Mr. Brian D. Edgar BA, LLB', 'age': 72, 'title': 'Exec. Chairman', 'yearBorn': 1950, 'fiscalYear': 2022, 'totalPay': 40156, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.085,0.0811,0.0811,0.0811,0.085,0.0811,0.0811,0.0811,0.0,450,450,46535,33240,33240,0.0,0.0,0,0,2893704,0.06,0.21,0.0912,0.13205,0.0,0.0,USD,2837176,0.0,31839630,35680700,81068,103428,1431648000,1434326400,0.0041,0.108389996,0.0405,2.87,0.0047999998,0.132,0.61439395,1667174400,1698710400,1690761600,-1575469,-0.03,1:8,1600387200,-1.865,PNK,EQUITY,SVBL,SVBL,SILVER BULL RESOURCES INC,"Silver Bull Resources, Inc.",924528600,America/New_York,EDT,-14400000,0.0811,none,241213,0.007,-1521421,45534,0.312,0.341,0.964,-0.16923,-0.30618998,-89806,-913283,0.0,0.0,0.0,USD,
1,777 Dunsmuir Street,Suite 1610,Vancouver,BC,V7Y 1K4,Canada,604-687-5800,604-563-6004,https://silverbullresources.com,Other Industrial Metals & Mining,Basic Materials,"Silver Bull Resources, Inc., an exploration stage company, acquires, explores, and develops mineral properties in Mexico, Kazakhstan, and Canada. The company primarily explores for silver, lead, and zinc deposits. Its principal project is the Sierra Mojada property comprising 20 concessions covering an area of 6,496 hectares located in Coahuila, Mexico. The company was formerly known as Metalline Mining Company and changed its name to Silver Bull Resources, Inc. in April 2011. Silver Bull Resources, Inc. was incorporated in 1993 and is based in Vancouver, Canada.",5,"{'maxAge': 1, 'name': 'Mr. Timothy T. Barry MAusIMM', 'age': 46, 'title': 'CEO, Pres & Director', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 72044, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.085,0.0811,0.0811,0.0811,0.085,0.0811,0.0811,0.0811,0.0,450,450,46535,33240,33240,0.0,0.0,0,0,2893704,0.06,0.21,0.0912,0.13205,0.0,0.0,USD,2837176,0.0,31839630,35680700,81068,103428,1431648000,1434326400,0.0041,0.108389996,0.0405,2.87,0.0047999998,0.132,0.61439395,1667174400,1698710400,1690761600,-1575469,-0.03,1:8,1600387200,-1.865,PNK,EQUITY,SVBL,SVBL,SILVER BULL RESOURCES INC,"Silver Bull Resources, Inc.",924528600,America/New_York,EDT,-14400000,0.0811,none,241213,0.007,-1521421,45534,0.312,0.341,0.964,-0.16923,-0.30618998,-89806,-913283,0.0,0.0,0.0,USD,
2,777 Dunsmuir Street,Suite 1610,Vancouver,BC,V7Y 1K4,Canada,604-687-5800,604-563-6004,https://silverbullresources.com,Other Industrial Metals & Mining,Basic Materials,"Silver Bull Resources, Inc., an exploration stage company, acquires, explores, and develops mineral properties in Mexico, Kazakhstan, and Canada. The company primarily explores for silver, lead, and zinc deposits. Its principal project is the Sierra Mojada property comprising 20 concessions covering an area of 6,496 hectares located in Coahuila, Mexico. The company was formerly known as Metalline Mining Company and changed its name to Silver Bull Resources, Inc. in April 2011. Silver Bull Resources, Inc. was incorporated in 1993 and is based in Vancouver, Canada.",5,"{'maxAge': 1, 'name': 'Mr. Christopher  Richards C.A., CPA', 'age': 44, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 64718, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.085,0.0811,0.0811,0.0811,0.085,0.0811,0.0811,0.0811,0.0,450,450,46535,33240,33240,0.0,0.0,0,0,2893704,0.06,0.21,0.0912,0.13205,0.0,0.0,USD,2837176,0.0,31839630,35680700,81068,103428,1431648000,1434326400,0.0041,0.108389996,0.0405,2.87,0.0047999998,0.132,0.61439395,1667174400,1698710400,1690761600,-1575469,-0.03,1:8,1600387200,-1.865,PNK,EQUITY,SVBL,SVBL,SILVER BULL RESOURCES INC,"Silver Bull Resources, Inc.",924528600,America/New_York,EDT,-14400000,0.0811,none,241213,0.007,-1521421,45534,0.312,0.341,0.964,-0.16923,-0.30618998,-89806,-913283,0.0,0.0,0.0,USD,
