,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. George R. Oliver', 'age': 62, 'title': 'Chairman & CEO', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 3929480, 'exercisedValue': 0, 'unexercisedValue': 27252472}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
1,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. Olivier C. Leonetti', 'age': 57, 'title': 'Exec. VP & CFO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1434250, 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
2,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. John  Donofrio', 'age': 60, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1346282, 'exercisedValue': 0, 'unexercisedValue': 2546467}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
3,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. Rodney  Clark', 'age': 52, 'title': 'VP & Chief Commercial Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2836925, 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
4,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. Daniel C. McConeghy', 'age': 55, 'title': 'VP and Chief Accounting & Tax Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
5,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. Vijay  Sankaran', 'age': 48, 'title': 'VP & Chief Technology Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
6,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Ms. Diane K. Schwarz', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
7,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. Philip B. Clement', 'age': 56, 'title': 'Chief Marketing Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
8,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. François  Mandeville', 'title': 'Corp. Devel. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
9,One Albert Quay,Cork,T12 X8N6,Ireland,353 21 423 5000,https://www.johnsoncontrols.com,Building Products & Equipment,Industrials,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning, and retrofitting building products and systems in the United States, Europe, the Asia Pacific, and internationally. It operates in four segments: Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific, and Global Products. The company designs, sells, installs, and services heating, ventilating, air conditioning, controls, building management, refrigeration, integrated electronic security, integrated fire detection and suppression systems, and fire protection and security products for commercial, industrial, retail, small business, institutional, and governmental customers. It also provides energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems, as well as data-driven smart building solutions to non-residential building and industrial applications. In addition, the company offers control software and software services for residential and commercial applications. Johnson Controls International plc was incorporated in 1885 and is headquartered in Cork, Ireland.",100000,"{'maxAge': 1, 'name': 'Mr. Marlon  Sullivan', 'age': 48, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",5,4,5,7,5,1693526400,1672444800,86400,2,57.12,56.99,56.56,57.599,57.12,56.99,56.56,57.599,1.48,0.025899999,1695340800,0.4799,2.37,1.263485,19.17114,14.2825,4946202,4946202,4003487,4713950,4713950,56.63,57.66,1100,800,38866681856,48.82,70.43,1.4604945,62.6752,63.09815,1.43,0.025035014,USD,50137878528,0.07745,677823259,680320000,4212810,6256183,1690761600,1693440000,0.0062,0.0025099998,0.93504995,0.97,0.0062,23.995,2.3809125,1664496000,1696032000,1688083200,1.768,2060999936,2.98,4.0,1.03,0:1,1473120000,1.884,13.927,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,-14400000,57.13,80.0,58.0,72.47,73.0,2.1,buy,19,1057000000,1.554,3600000000,11196000256,0.684,1.079,26612000768,64.113,38.769,0.04086,0.13067001,8343000000,1316375040,2010000000,1.794,0.078,0.34037,0.13528,0.104540005,USD,0.7517
