,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,earningsGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,260 Madison Avenue,Suite 800,New York,NY,10026,United States,212 287 4092,https://bioplusspac.com,Shell Companies,Financial Services,"BioPlus Acquisition Corp. does not have significant operations. The company intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or other similar business combination with one or more businesses in the life sciences industry. BioPlus Acquisition Corp. was incorporated in 2021 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. Jonathan M. N. Rigby MBA', 'age': 54, 'title': 'Chairman & Chief Bus. Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.795,10.8,10.79,10.82,10.795,10.8,10.79,10.82,0.0,51.52381,33.8125,22,22,42800,10260,10260,10.8,10.82,1100,800,209556352,10.02,11.68,10.7153,10.483015,0.0,0.0,USD,215349360,0.0,11227521,19367500,2475,1650,1690761600,1693440000,0.0001,0.48687,1.6700901,0.03,0.0002,-0.856,1672444800,1703980800,1688083200,48.779,5794745,0.21,0.32,-7.93,NGM,EQUITY,BIOS,BIOS,BioPlus Acquisition Corp.,BioPlus Acquisition Corp.,1643380200,America/New_York,EDT,-14400000,10.82,23.0,16.0,20.0,20.5,1.4,strong_buy,4,2454,0.0,6570403,0.001,0.099,-0.00722,-958038,-1612642,58.614,0.0,0.0,0.0,USD,
1,260 Madison Avenue,Suite 800,New York,NY,10026,United States,212 287 4092,https://bioplusspac.com,Shell Companies,Financial Services,"BioPlus Acquisition Corp. does not have significant operations. The company intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or other similar business combination with one or more businesses in the life sciences industry. BioPlus Acquisition Corp. was incorporated in 2021 and is based in New York, New York.","{'maxAge': 1, 'name': 'Mr. R. Ross  Haghighat', 'age': 58, 'title': 'CEO, CFO & Director', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.795,10.8,10.79,10.82,10.795,10.8,10.79,10.82,0.0,51.52381,33.8125,22,22,42800,10260,10260,10.8,10.82,1100,800,209556352,10.02,11.68,10.7153,10.483015,0.0,0.0,USD,215349360,0.0,11227521,19367500,2475,1650,1690761600,1693440000,0.0001,0.48687,1.6700901,0.03,0.0002,-0.856,1672444800,1703980800,1688083200,48.779,5794745,0.21,0.32,-7.93,NGM,EQUITY,BIOS,BIOS,BioPlus Acquisition Corp.,BioPlus Acquisition Corp.,1643380200,America/New_York,EDT,-14400000,10.82,23.0,16.0,20.0,20.5,1.4,strong_buy,4,2454,0.0,6570403,0.001,0.099,-0.00722,-958038,-1612642,58.614,0.0,0.0,0.0,USD,
