,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Mr. Leo M. Quinn BSc (Hons), MSc', 'age': 65, 'title': 'Group Chief Exec. & Exec. Director', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 2700770, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
1,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Mr. Philip J. Harrison', 'age': 61, 'title': 'CFO & Exec. Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1574659, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
2,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Lord William  Weir', 'age': 89, 'title': 'Honorary Pres', 'yearBorn': 1933, 'fiscalYear': 2003, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
3,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Mr. John P. Tarpey Jr.', 'title': 'Chief of Organization Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
4,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Mr. Mark  Johnnie', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
5,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Mr. Chris  Johnson', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
6,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Ms. Tracey A. Wood L.L.B., LLB', 'age': 53, 'title': 'Group Gen. Counsel & Company Sec.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
7,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Ms. Leslee  Mallinson', 'title': 'Sr. VP of Brand & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
8,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Ms. Marla  Storm', 'title': 'Sr. VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
9,5 Churchill Place,Canary Wharf,London,E14 5HU,United Kingdom,44 20 7216 6800,https://www.balfourbeatty.com,Engineering & Construction,Industrials,"Balfour Beatty plc finances, designs, develops, builds, and maintains infrastructure in the United Kingdom, the United States, and internationally. It operates through three segments: Construction Services, Support Services, and Infrastructure Investments. The Construction Services segment provides civil engineering, building, ground engineering, mechanical and electrical, refurbishment, fit-out, and rail engineering services for infrastructure and buildings markets. The Support Services segment designs, upgrades, manages, and maintains critical national infrastructure, such as electricity networks, rail, and highways. The Infrastructure Investments segment is involved in the acquisition, operation, and disposal of infrastructure assets, such as roads, hospitals, student accommodation, military housing, multifamily residences, offshore transmission networks, waste and biomass, and other concessions. This segment also develops and finances public and private infrastructure projects. Balfour Beatty plc was founded in 1909 and is based in London, the United Kingdom.",25230,"{'maxAge': 1, 'name': 'Mr. Stephen J. Tarr', 'title': 'Chief Exec. Officer, Transport, Energy & Power Major Projects', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,3,1,3,1693526400,1672444800,86400,2,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,8.2114,0.27,0.0325,1698278400,0.2603,0.793543,7.8955774,10,10,250,360,360,0.0,0.0,0,0,2327275008,6.68,10.05,0.29692203,8.6278,8.7925,0.105,0.012787101,USD,2017931904,0.03215,276812235,278179008,0.0,0.0002,4.35,1.8876783,1672444800,1703980800,1688083200,-0.364,252000000,1.04,1:8,1341878400,0.257,9.519,PNK,EQUITY,BAFYY,BAFYY,BALFOUR BEATTY SPON ADR EA REPR,Balfour Beatty plc,1341927000,America/New_York,EDT,-14400000,8.2114,none,927000000,3.27,212000000,612000000,0.82,0.9,7838000128,49.434,26.982,0.02091,0.18722,427000000,172124992,197000000,-0.288,0.058,0.055370003,0.02705,0.02169,GBP,
