,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1030 West Georgia,Suite 710,Vancouver,BC,V6E 2Y3,Canada,https://www.districtmines.com,Oil & Gas E&P,Energy,"District Mines Ltd. explores for and develops petroleum and natural gas reserves in Western Canada. The company was formerly known as Catalina Gold Corp. and changed its name to District Mines Ltd. in April 2020. The company was incorporated in 1987 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Anthony  Paterson', 'age': 36, 'title': 'CEO & Pres', 'yearBorn': 1986, 'fiscalYear': 2021, 'totalPay': 60000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.0,0.628993,2,2,65,0,0,0.095,0.32,1095582,0.02,0.13,66.36673,0.0783,0.083775,0.0,0.0,CAD,1092381,0.0,10927939,12889200,1,6,1604016000,1693440000,0.0,0.07084,0.0,0.01,-0.056,1672444800,1703980800,1688083200,-261529,-0.01,1:2,1616112000,66.173,-2.218,VAN,EQUITY,DIG-H.V,DIG-H.V,DISTRICT MINES LTD,District Mines Ltd.,938439000,America/Toronto,EDT,-14400000,0.085,none,3196,0.0,-492592,0,0.13,0.135,16508,0.001,-0.80730003,24685,-208856,-148809,5.49806,0.0,-30.24443,CAD,
1,1030 West Georgia,Suite 710,Vancouver,BC,V6E 2Y3,Canada,https://www.districtmines.com,Oil & Gas E&P,Energy,"District Mines Ltd. explores for and develops petroleum and natural gas reserves in Western Canada. The company was formerly known as Catalina Gold Corp. and changed its name to District Mines Ltd. in April 2020. The company was incorporated in 1987 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Paul  Chairlish', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.0,0.628993,2,2,65,0,0,0.095,0.32,1095582,0.02,0.13,66.36673,0.0783,0.083775,0.0,0.0,CAD,1092381,0.0,10927939,12889200,1,6,1604016000,1693440000,0.0,0.07084,0.0,0.01,-0.056,1672444800,1703980800,1688083200,-261529,-0.01,1:2,1616112000,66.173,-2.218,VAN,EQUITY,DIG-H.V,DIG-H.V,DISTRICT MINES LTD,District Mines Ltd.,938439000,America/Toronto,EDT,-14400000,0.085,none,3196,0.0,-492592,0,0.13,0.135,16508,0.001,-0.80730003,24685,-208856,-148809,5.49806,0.0,-30.24443,CAD,
