,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,400 Burrard Street,Suite 1780,Vancouver,BC,V6C 3A6,Canada,https://www.bcmresources.com,Other Industrial Metals & Mining,Basic Materials,"BCM Resources Corporation engages in the acquisition, exploration, and development of mineral properties in Canada. The company explores for gold and copper resources. Its flagship project is the Shan property that covers an area of approximately 7,604 hectares located in the Terrace area of Northwest British Columbia. The company was formerly known as BC Moly Ltd. and changed its name to BCM Resources Corporation in February 2006. BCM Resources Corporation is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Dr. Sergei  Diakov', 'title': 'Pres, CEO & Director', 'fiscalYear': 2022, 'totalPay': 72000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.0,1.930853,842345,842345,163754,197950,197950,0.08,0.085,0,0,14500080,0.08,0.24,0.1516,0.1419,0.0,0.0,CAD,14041308,0.0,149826066,181251008,20576,26443,1690761600,1693440000,0.0001,0.04346,0.121429995,0.23,0.118,0.67796606,1661904000,1693440000,1685491200,-1079820,-0.01,VAN,EQUITY,B.V,B.V,BCM RESOURCES CORPORATION,BCM Resources Corporation,1159450200,America/Toronto,EDT,-14400000,0.08,none,458807,0.003,0,0.549,0.672,-0.04259,-0.07999,-3744057,-283427,0.0,0.0,0.0,CAD,
1,400 Burrard Street,Suite 1780,Vancouver,BC,V6C 3A6,Canada,https://www.bcmresources.com,Other Industrial Metals & Mining,Basic Materials,"BCM Resources Corporation engages in the acquisition, exploration, and development of mineral properties in Canada. The company explores for gold and copper resources. Its flagship project is the Shan property that covers an area of approximately 7,604 hectares located in the Terrace area of Northwest British Columbia. The company was formerly known as BC Moly Ltd. and changed its name to BCM Resources Corporation in February 2006. BCM Resources Corporation is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Dale Bernard McClanaghan MBA', 'age': 66, 'title': 'CFO & Director', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.0,1.930853,842345,842345,163754,197950,197950,0.08,0.085,0,0,14500080,0.08,0.24,0.1516,0.1419,0.0,0.0,CAD,14041308,0.0,149826066,181251008,20576,26443,1690761600,1693440000,0.0001,0.04346,0.121429995,0.23,0.118,0.67796606,1661904000,1693440000,1685491200,-1079820,-0.01,VAN,EQUITY,B.V,B.V,BCM RESOURCES CORPORATION,BCM Resources Corporation,1159450200,America/Toronto,EDT,-14400000,0.08,none,458807,0.003,0,0.549,0.672,-0.04259,-0.07999,-3744057,-283427,0.0,0.0,0.0,CAD,
