,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,400 George Street,Level 24,Sydney,NSW,2000,Australia,61 2 8243 0888,61 2 8243 0880,https://www.pmcapital.com.au/listed-investment-company/pgf,Asset Management,Financial Services,"PM Capital Global Opportunities Fund Limited is a closed ended equity mutual fund launched and managed by PM CAPITAL Limited. It invests in public equity markets across the globe. The fund seeks to invest in stocks of companies that are operating across diversified sectors. It primarily invests in value stocks of companies. PM Capital Global Opportunities Fund Limited was formed on December 12, 2013 and is domiciled in Australia.","{'maxAge': 1, 'name': 'Ms. Ursula E. Kay', 'title': 'Company Sec. and Alternate Director', 'fiscalYear': 2014, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,4,1.885,1.89,1.85,1.95,1.885,1.89,1.85,1.95,0.1,0.0539,1694563200,0.313,4.38,5.796875,734654,734654,249258,311223,311223,1.85,1.87,0,0,770047616,1.42,2.0,1.8872,1.7812,0.0,0.0,AUD,0.0,408512992,0.19215,0.01286,0.32,ASX,EQUITY,PGF.AX,PGF.AX,PMGLOBAL FPO,PM Capital Global Opportunities Fund Limited,1386802800,Australia/Sydney,AEST,36000000,1.855,none,0.0,0.0,0.0,
1,400 George Street,Level 24,Sydney,NSW,2000,Australia,61 2 8243 0888,61 2 8243 0880,https://www.pmcapital.com.au/listed-investment-company/pgf,Asset Management,Financial Services,"PM Capital Global Opportunities Fund Limited is a closed ended equity mutual fund launched and managed by PM CAPITAL Limited. It invests in public equity markets across the globe. The fund seeks to invest in stocks of companies that are operating across diversified sectors. It primarily invests in value stocks of companies. PM Capital Global Opportunities Fund Limited was formed on December 12, 2013 and is domiciled in Australia.","{'maxAge': 1, 'name': 'Mr. Ben  Skilbeck', 'title': 'CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,4,1.885,1.89,1.85,1.95,1.885,1.89,1.85,1.95,0.1,0.0539,1694563200,0.313,4.38,5.796875,734654,734654,249258,311223,311223,1.85,1.87,0,0,770047616,1.42,2.0,1.8872,1.7812,0.0,0.0,AUD,0.0,408512992,0.19215,0.01286,0.32,ASX,EQUITY,PGF.AX,PGF.AX,PMGLOBAL FPO,PM Capital Global Opportunities Fund Limited,1386802800,Australia/Sydney,AEST,36000000,1.855,none,0.0,0.0,0.0,
