,address1,address2,city,state,zip,country,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,925 West Georgia Street,Suite 145,Vancouver,BC,V6C 3L2,Canada,Shell Companies,Financial Services,"Wangton Capital Corp. does not have significant operations. It intends to identify and evaluate assets/businesses with a view to complete a qualifying transaction. The company was incorporated in 2010 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Moe  Dilon', 'title': 'Chairman, Pres & CEO', 'fiscalYear': 2021, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.0,0.62947,6000,6000,0,0,0,0.06,0.115,0,0,1586981,0.065,0.065,0.065,0.065,0.0,0.0,CAD,1136428,0.0,17761724,24415100,0,0,1422835200,1530576000,0.0,0.1325,0.0,0.0,0.011,5.9090905,1672444800,1703980800,1688083200,-61499,-0.0,1:2,1418342400,VAN,EQUITY,WT-H.V,WT-H.V,WANGTON CAPITAL CORP,Wangton Capital Corp.,1330612200,America/Toronto,EDT,-14400000,0.065,none,228356,0.011,0,9.924,9.924,-0.12555,-0.24465,-32571,-59709,0.0,0.0,0.0,CAD,
1,925 West Georgia Street,Suite 145,Vancouver,BC,V6C 3L2,Canada,Shell Companies,Financial Services,"Wangton Capital Corp. does not have significant operations. It intends to identify and evaluate assets/businesses with a view to complete a qualifying transaction. The company was incorporated in 2010 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Tagdeer  Gill CGA', 'title': 'CFO, Corp. Sec. & Director', 'fiscalYear': 2021, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.0,0.62947,6000,6000,0,0,0,0.06,0.115,0,0,1586981,0.065,0.065,0.065,0.065,0.0,0.0,CAD,1136428,0.0,17761724,24415100,0,0,1422835200,1530576000,0.0,0.1325,0.0,0.0,0.011,5.9090905,1672444800,1703980800,1688083200,-61499,-0.0,1:2,1418342400,VAN,EQUITY,WT-H.V,WT-H.V,WANGTON CAPITAL CORP,Wangton Capital Corp.,1330612200,America/Toronto,EDT,-14400000,0.065,none,228356,0.011,0,9.924,9.924,-0.12555,-0.24465,-32571,-59709,0.0,0.0,0.0,CAD,
