,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Oscar Garcia Maceiras', 'age': 47, 'title': 'CEO & Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 6263900, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
1,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Ignacio  Izuzquiza Fernández', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
2,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Carlos  Crespo González', 'age': 51, 'title': 'COO & MD of Operations, Sustainable and Digital Transformation', 'yearBorn': 1971, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
3,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': ""Mr. James  O'Shaughnessy"", 'title': 'Sr. Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
4,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Javier  Monteoliva Díaz', 'title': 'Gen. Counsel & Sec. of the Board', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
5,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Raul Estradera Vazquez', 'title': 'Chief Communication Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
6,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Ms. Begoña  López-Cano Ibarreche', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
7,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Gabriel  Moneo Marina', 'age': 62, 'title': 'Chief Information Technology Officer', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
8,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Abel López Cernadas', 'age': 57, 'title': 'Head of Import, Export & Transport', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
9,Edificio Inditex,Avenida de la Diputación s/n Arteixo,A Coruña,15143,Spain,34 981 18 54 00,34 981 18 53 65,https://www.inditex.com,Apparel Retail,Consumer Cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",67152,"{'maxAge': 1, 'name': 'Mr. Marcos  López García', 'title': 'Capital Markets Director', 'exercisedValue': 0, 'unexercisedValue': 0}",2,4,2,3,2,1693526400,1672444800,86400,2,37.78,38.9275,38.05,39.24,37.78,38.9275,38.05,39.24,0.41,0.0106,1698710400,0.491,1.99,1.082957,23.497007,20.652634,8700,8700,5917,2440,2440,0.0,0.0,0,0,122156875776,19.97,40.26,3.6532352,37.8066,33.4039,0.0,0.0,USD,117125939200,0.13571,1106588325,3113070080,0.64351,0.15822,5.216,7.5230064,1675123200,1706659200,1682812800,0.537,4537999872,1.67,1.9,1.41,5:1,1406505600,3.503,16.755,PNK,EQUITY,IDEXF,IDEXF,INDITEX (IND.DE DISENO TEXTIL S,"Industria de Diseño Textil, S.A.",1326810600,America/New_York,EDT,-14400000,39.24,36.88,20.1,28.49,28.49,3.0,hold,2,10522000384,3.38,6990499840,5473999872,1.117,1.506,33437999104,33.657,10.743,0.11869001,0.28915,18558000000,0.537,0.129,0.54958,0.20906,0.17357,EUR,2.1571
