,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Engineer Eduardo Arturo Carrillo Madero', 'title': 'Pres of the Board, MD, Director Gen. & CEO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
1,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Ms. Jenny Paola Cristerna Jarero', 'title': 'Exec. Director of Admin. & Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
2,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Mr. Luis Alberto Benavides Simón', 'title': 'Managing Director of Finamex Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
3,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Luis Edgar Saldana Marquez', 'title': 'Deputy Director of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
4,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Mr. Jorge Luis Peón Segura', 'title': 'Legal Director & Sec. of the Board of Directors', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
5,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Ms. Mariana  Espinosa Domínguez', 'title': 'Regulatory Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
6,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Mr. Hector  Casavantes Gonzalez', 'title': 'Director of Electronic Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
7,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Edgar Gerardo Ledesma Álvarez', 'title': 'Director of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
8,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Engineer Mauricio  Lopez Velasco Del Pino', 'title': 'Director of Control of Expenses, Human Capital & Assets', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
9,Av. AmEricas No. 1545,Pisos 18 y 19 Colonia Providencia 5a SecciOn,Guadalajara,JA,44638,Mexico,52 33 3818 4400,https://www.finamex.com.mx,Capital Markets,Financial Services,"Casa de Bolsa Finamex S.A.B. de C.V. operates as a provider of access services to the Mexican markets. The company offers financial services to individual, corporate, or professional investors in the Mexican markets of money, capital, derivatives, and foreign exchange with various direct access products and specialized mixtures. It also provides securities brokerage and administration, and foreign currency purchase and sale services for institutional and corporate clients. The company was founded in 1974 and is based in Guadalajara, Mexico.","{'maxAge': 1, 'name': 'Mr. Austrolberto  Medellín Peña', 'title': 'Regulatory Comptroller', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29.0,0.0,29.0,29.0,29.0,0.0,29.0,29.0,2.37,0.08180001,1671494400,0.48950002,0.082446,17.901234,0,0,960,0,0,0.0,28.13,0,0,1838278144,28.0,31.0,0.1522227,29.0,29.477,0.0,0.0,MXN,69616910336,0.00746,48175566,63388900,27.385,1.0589739,1672444800,1703980800,1688083200,90105496,1.62,1:2,1369872000,5.765,MEX,EQUITY,FINAMEXO.MX,FINAMEXO.MX,CASA DE BOLSA FINAMEX SAB DE CV,Casa de Bolsa Finamex S.A.B. de C.V.,998569800,America/Mexico_City,CDT,-18000000,29.0,none,6455118848,101.834,74233757696,0.266,1.007,12076241920,4276.299,190.51,0.00098,0.05214,152260086,-49253304,0.325,0.00783,0.0,0.00921,MXN,
