,address1,address2,city,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Mr. I. Dewa Made Susila', 'age': 52, 'title': 'CFO, Chief of Strategy & Transformation Officer and Pres director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
1,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Mr. Ho Lioeng Min', 'age': 54, 'title': 'Chief of Operation, Risk & Legal Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
2,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Ms. Lindawati  Soetopo', 'age': 51, 'title': 'Head of Accounting & Tax', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
3,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Aan  Setiawandi', 'age': 39, 'title': 'Head of Corp. Fin.', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
4,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Mr. Perry Barman Slangor', 'age': 52, 'title': 'Head of Corp. Sec., Investor Relations & Funding', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
5,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Ms. Veronika Dyah Puspitaningrum', 'age': 41, 'title': 'Head of Compliance & Anti Money Laundering unit', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
6,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Mr. Gandhy  Inderayana', 'age': 42, 'title': 'Head of Brand & Corp. Communication', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
7,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Ms. Swandajani  Gunadi', 'age': 50, 'title': 'Chief of Marketing Officer, Chief of HC Management & CREM Officer and Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
8,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Mr. Niko Kurniawan Bonggowarsito', 'age': 51, 'title': 'Chief of Sales, Service & Distribution Officer and Director', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
9,Millennium Centennial Center Building,"Lt. 53-61, Jl. Gen. Sudirman Kav. 25 Setiabudi Rubber South",Jakarta Selatan,12920,Indonesia,62 21 3973 3232,62 21 3973 4949,https://adira.co.id,Credit Services,Credit Services,Financial Services,Financial Services,"PT Adira Dinamika Multi Finance Tbk provides consumer financing, murabahah financing, and finance leasing services in Indonesia. It also provides sharia financing, which includes investment financing, working capital financing, multipurpose financing, and other financing business. The company was founded in 1990 and is headquartered in Jakarta Selatan, Indonesia. PT Adira Dinamika Multi Finance Tbk operates as a subsidiary of PT Bank Danamon Indonesia Tbk.   PT Adira Finance operates as an auto finance firm. The company is based in Indonesia. PT Adira Finance operates as a subsidiary of PT Bank Danamon Indonesia Tbk.",14329,"{'maxAge': 1, 'name': 'Mr. Pramono  Pranoto', 'age': 43, 'title': 'Head of Risk MIS & Analytics', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10875.0,10875.0,10425.0,10875.0,10875.0,10875.0,10425.0,10875.0,803.0,0.0747,1681430400,0.4555,0.507978,6.097561,556400,556400,190231,136330,136330,10675.0,10800.0,0,0,10750000103424,8150.0,13250.0,1.9002407,11624.0,10262.75,803.0,0.07383908,IDR,24252916957184,0.31160998,79250000,1000000000,0.9249,0.0010800001,1000000000,10051.093,1.0695355,1672444800,1703980800,1688083200,0.126,1762840018944,1763.0,4.287,0.2835821,0.14113986,803.0,1681430400,JKT,EQUITY,ADMF.JK,ADMF.JK,Adira Dinamika Multi Finance Tb,PT Adira Dinamika Multi Finance Tbk,1080698400,Asia/Jakarta,WIB,1d66368a-5d98-3e68-a28f-343a614b3fce,finmb_9428556,25200000,10750.0,none,1589186002944,1589.186,15092102987776,6.165,6.207,5657178144768,150.154,5657.178,0.06706,0.18529,5242000000000,-3393396932608,0.126,0.113,0.98239,0.0,0.40219003,IDR,
