,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Ms. Meliza Musa Rusli', 'age': 48, 'title': 'Pres Director', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
1,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Mr. Abdy Dharma Salimin', 'age': 56, 'title': 'Technology & Operations Director and Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
2,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Eti  Candrawati', 'age': 44, 'title': 'Head of Balance Sheet Management, Corp. Planning & Investor Relations Division', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
3,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Ms. Dhien  Tjahajani', 'age': 55, 'title': 'Legal & Compliance Director and Director', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
4,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Mr. Dayan  Sadikin', 'age': 49, 'title': 'Director of HR & Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
5,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Ms. Monita  Tedjalesmana', 'age': 53, 'title': 'Head of Commercial Banking 1 Division', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
6,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Ms. Dyah Adhi Astuti', 'age': 54, 'title': 'Head of HR Division', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
7,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Mr. Eddie  Sajoga', 'age': 53, 'title': 'Chief of Branch Network', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
8,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Ms. Eni Widiarti Soetarso', 'age': 49, 'title': 'Head of Employee Relations & HR Service Delivery Division', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
9,World Trade Center II,Jalan Jendral Sudirman Kavling 29-31,Jakarta,12920,Indonesia,62 21 772 89928,62 21 772 89928,https://www.permatabank.com,Banks—Regional,Financial Services,"PT Bank Permata Tbk provides various banking products and services to retail, SME, and businesses customers in Indonesia. It offers savings and current account, and time deposits, as well as personal and mortgage loans, working capital loans, and trade finance. The company also provides mutual funds, bonds, bancassurance, credit cards, treasury solutions, supply chain, capital market, and cash management services, as well as digital banking services. The company was formerly known as PT Bank Bali Tbk and changed its name to PT Bank Permata Tbk in October 2002. PT Bank Permata Tbk was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Bank Permata Tbk operates as a subsidiary of Bangkok Bank Public Company Limited.",7007,"{'maxAge': 1, 'name': 'Mr. Willy  Budiman', 'age': 46, 'title': 'Head of Anti Money Laundering Division', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,930.0,935.0,925.0,935.0,930.0,935.0,925.0,935.0,15.0,0.016,1681776000,0.2727,0.974401,17.006184,20300,20300,151322,43490,43490,930.0,935.0,33829515427840,910.0,1255.0,4.0227537,964.0,992.575,0.0,0.0,IDR,-3439946629120,0.23674,26774171,26880200,0.01092,0.98786,1067.319,0.8760268,1672444800,1703980800,1688083200,-0.041,1990833995776,54.98,-0.409,JKT,EQUITY,BNLI.JK,BNLI.JK,Bank Permata Tbk,PT Bank Permata Tbk,1086660000,Asia/Jakarta,WIB,25200000,935.0,none,47616280756224,1316.046,10346806902784,8409541771264,232.427,0.00827,0.05252,8016686000000,-26830593589248,-0.034,0.003,0.0,0.0,0.31667998,IDR,
