,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Mr. Arthur James Johnson', 'age': 61, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2699000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
1,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Mr. Bruce  Ferguson', 'age': 49, 'title': 'Group Fin. Director & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1019000, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
2,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Rick  Bradley', 'age': 61, 'title': 'Chief Operating Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
3,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Ms. Tarryn  Riley', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
4,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Gregory T. Farmer', 'age': 55, 'title': 'Global Director of QAHSE/Compliance', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
5,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Ms. Liese  Borden', 'age': 60, 'title': 'Chief HR Officer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
6,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Randy  Walliser', 'age': 61, 'title': 'Managing Director of Canada Operations', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
7,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Jason  Mai', 'age': 53, 'title': 'Managing Director of Hunting Titan', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
8,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Daniel  Tan', 'age': 58, 'title': 'Managing Director of Asia Pacific Operations', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
9,30 Panton Street,5th Floor,London,SW1Y 4AJ,United Kingdom,44 20 7321 0123,44 20 7839 2072,https://www.huntingplc.com,Oil & Gas Equipment & Services,Energy,"Hunting PLC, together with its subsidiaries, provides tools and components for oil and gas and energy industries. The company operates through Hunting Titan, North America, Europe, Middle East and Africa, and Asia Pacific segments. The Hunting Titan segment manufactures and distributes integrated and conventional gun systems and hardware related products. This segment also offers H-2 and H-3 gun systems, controlfire switches, powerset charges, EQUAfrac shaped charges, and T-Set tools. The North America segment offers subsea equipment, intervention tools, electronics and deep hole drilling and precision machining services, as well as connections and oil country tubular goods. The Europe, Middle East and Africa segment supplies threading, legacy pipe storage and related accessories. The Asia Pacific segment manufactures connections, accessories, and intervention equipment. Hunting PLC was founded in 1874 and is based in London, the United Kingdom.",2258,"{'maxAge': 1, 'name': 'Scott  George', 'age': 47, 'title': 'Managing Director of North America', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",9,3,5,1,3,1693526400,1672444800,86400,2,293.0,290.0,290.0,300.0,293.0,290.0,290.0,300.0,0.08,0.028399998,1696464000,0.9821,1.341591,4242.857,989.99994,1522065,1522065,505352,516814,516814,296.0,342.0,0,0,489871808,190.0,354.0,0.5646937,257.21,262.7595,0.095,0.00032423207,GBp,557030016,0.01764,122158110,164940000,0.19026,0.65956,5.369,55.317566,1672444800,1703980800,1688083200,15300000,0.07,0.3,0.28,0.642,8.491,LSE,EQUITY,HTG.L,HTG.L,HUNTING PLC ORD 25P,Hunting PLC,583743600,Europe/London,BST,3600000,297.0,4.48,3.48,3.9,4.03,1.6,buy,7,36500000,0.23,65600000,118800000,1.138,2.478,867500032,13.875,5.439,0.02021,0.02036,171400000,-102437504,-67400000,0.422,0.24184,0.075619996,0.04023,USD,
