,address1,city,state,zip,country,phone,website,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Ms. Patricia Kessler Poppe', 'age': 53, 'title': 'CEO & Director', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
1,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Ms. Stephanie N. Williams', 'age': 39, 'title': 'VP, CFO & Controller', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
2,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. Sumeet  Singh', 'age': 43, 'title': 'Exec. VP of Operations, COO, Chief Safety Officer & Director', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
3,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Jennifer  Garboden', 'title': 'Director of Corp. Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
4,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. David L. Leach', 'title': 'Chief Information Officer, Chief Data & Analytics Officer and VP', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
5,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. Jonathan P. Arnold', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
6,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. Alejandro T. Vallejo', 'title': 'Chief Risk Officer and Sr. VP of Ethics & Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
7,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. David  McCulloch', 'title': 'VP and Chief Marketing & Communications Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
8,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. Julius  Cox', 'age': 51, 'title': 'Exec. VP of People, Shared Services & Supply Chain', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
9,300 Lakeside Drive,Oakland,CA,94612,United States,415 973 7000,https://www.pge.com,"Pacific Gas and Electric Company generates, transmits, distributes, and sells electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, and photovoltaic sources. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1905 and is based in Oakland, California. Pacific Gas and Electric Company operates as a subsidiary of PG&E Corporation.",25990,"{'maxAge': 1, 'name': 'Mr. Stephen J. Cairns', 'age': 54, 'title': 'VP & Chief Audit Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,21.25,21.1652,21.0,21.22,21.25,21.1652,21.0,21.22,11.751663,6992,6992,6895,3596,3596,19.96,21.03,1100,900,5604750336,19.01,23.0,0.2517518,21.319962,21.532513,0.0,0.0,USD,51374473216,0.09891,264375008,0.0,0.15809,1059.708,0.020005511,1672444800,1703980800,1688083200,-0.2,2188000000,1.804,2.308,6.378,ASE,EQUITY,PCG-PA,PCG-PA,Pacific Gas & Electric Co. 6% P,Pacific Gas and Electric Company,946909800,America/New_York,EDT,-14400000,21.2,none,545000000,20.615,8055000064,51100999680,0.773,0.974,22262999040,180.735,842.1,0.02163,0.08046,7179000000,-5625999872,4754999808,-0.201,0.034,0.35,0.36181,0.18138,USD,
