,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Burhaniye Mahallesi Kisikli,Caddesi No: 65 UeskUedar,Istanbul,34676,Turkey,90 216 556 90 00,90 216 556 93 98,https://www.milpa.com.tr,Conglomerates,Industrials,"Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S. engages in the real estate and second-hand motorcycle sales and marketing activities. The company was founded in 1980 and is based in Istanbul, Turkey. Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S. is a subsidiary of Dogan Sirketler Grubu Holding A.S.",1,"{'maxAge': 1, 'name': 'Mr. Tahir  Ersoy', 'age': 47, 'title': 'MD. GM & Exec. Deputy Chairman', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,35.42,35.42,35.42,35.7,35.42,35.42,35.42,35.7,0.53,0.0147,1682640000,0.0848,0.62101,5.6666665,251396,251396,1900593,340347,340347,35.6,35.6,0,0,7425600000,5.93,41.06,1275.9037,28.1762,14.421,0.0,0.0,TRY,7319022592,225.37798,36840332,208000000,0.82289004,0.0,7.525,4.744186,1672444800,1703980800,1688083200,1311671552,6.3,1:1000,1104710400,1257.591,22.097,IST,EQUITY,MIPAZ.IS,MIPAZ.IS,MILPA,Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S.,957940200,Europe/Istanbul,TRT,10800000,35.7,none,261105696,1.255,331215424,309386,14.363,14.433,5819875,0.02,0.028,0.19531,1.3591,3211830,-1092164352,-50098024,0.49732,56.911087,56.90293,TRY,
1,Burhaniye Mahallesi Kisikli,Caddesi No: 65 UeskUedar,Istanbul,34676,Turkey,90 216 556 90 00,90 216 556 93 98,https://www.milpa.com.tr,Conglomerates,Industrials,"Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S. engages in the real estate and second-hand motorcycle sales and marketing activities. The company was founded in 1980 and is based in Istanbul, Turkey. Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S. is a subsidiary of Dogan Sirketler Grubu Holding A.S.",1,"{'maxAge': 1, 'name': 'Mr. Volkan  Çiçek', 'title': 'Financial & Admin. Mang. and Accounting Specialist & Investor Relations Unit Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,35.42,35.42,35.42,35.7,35.42,35.42,35.42,35.7,0.53,0.0147,1682640000,0.0848,0.62101,5.6666665,251396,251396,1900593,340347,340347,35.6,35.6,0,0,7425600000,5.93,41.06,1275.9037,28.1762,14.421,0.0,0.0,TRY,7319022592,225.37798,36840332,208000000,0.82289004,0.0,7.525,4.744186,1672444800,1703980800,1688083200,1311671552,6.3,1:1000,1104710400,1257.591,22.097,IST,EQUITY,MIPAZ.IS,MIPAZ.IS,MILPA,Milpa Ticari ve Sinai Ürünler Pazarlama Sanayi ve Ticaret A.S.,957940200,Europe/Istanbul,TRT,10800000,35.7,none,261105696,1.255,331215424,309386,14.363,14.433,5819875,0.02,0.028,0.19531,1.3591,3211830,-1092164352,-50098024,0.49732,56.911087,56.90293,TRY,
