,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Mr. Robert Christopher Ashton M.A.I.C.D., M.B.A.', 'title': 'MD, CEO & Director', 'fiscalYear': 2023, 'totalPay': 3632462, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
1,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': ""Mr. Tiernan Patrick O'Rourke B.Com., BComm, F.C.A., M.B.A., MBA"", 'age': 57, 'title': 'Chief Financial Officer', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 1579359, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
2,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Mr. Mark  Trueman', 'title': 'Group Pres of Americas', 'fiscalYear': 2023, 'totalPay': 1535006, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
3,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Ms. Karen  Sobel', 'title': 'Exec. Officer', 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
4,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Mr. Mark  Brantley', 'title': 'Group Pres of EMEA & APAC', 'fiscalYear': 2023, 'totalPay': 1574860, 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
5,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Ms. Geeta  Thakorlal', 'title': 'Exec. Group Director of Information & Digital Delivery', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
6,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Verena  Preston', 'title': 'Group Director Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
7,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Mr. Lawrence S. Kalban', 'title': 'Group Gen. Counsel of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
8,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Ms. Vikki  Pink', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
9,141 Walker Street,Level 17,North Sydney,NSW,2060,Australia,61 2 8923 6866,61 2 8923 6877,https://www.worley.com,Oil & Gas Equipment & Services,Energy,"Worley Limited provides professional project and asset services to energy, chemicals, and resources sectors worldwide. The company offers digital, consulting, engineering and design, construction management, construction and fabrication, supply chain management, project management, and operation and maintenance services, as well as maintenance, modification, and operation services. It serves new energy, power, upstream and midstream, refining and chemicals, and infrastructure markets, as well as mining, minerals, and metals markets. The company was formerly known as WorleyParsons Limited and changed its name to Worley Limited in October 2019. The company was incorporated in 2001 and is headquartered in North Sydney, Australia.",48223,"{'maxAge': 1, 'name': 'Mr. Anthony  Frencham', 'title': 'Group Managing Director of Power & New Energy', 'exercisedValue': 0, 'unexercisedValue': 0}",1,6,3,7,5,1693526400,1703980800,86400,2,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,0.33,0.028800001,1693526400,6.9357,3.4,1.672672,285.25,85,85,559,770,770,0.0,0.0,0,0,6001511936,7.8,11.82,0.52988803,11.245,10.5211,0.5,0.043821212,USD,7818511360,0.00327,364971828,525987008,0.0,0.0,10.66,1.0703565,1688083200,1719705600,1688083200,0.462,37000000,0.04,0.69,11.137,PNK,EQUITY,WYGPY,WYGPY,WORLEY LIMITED ADR EACH REPR 1 ,Worley Limited,1266849000,America/New_York,EDT,-14400000,11.41,none,425000000,0.808,702000000,2248000000,1.139,1.299,11326000128,40.136,21.548,0.033469997,0.00815,724000000,395875008,260000000,0.454,0.178,0.06392,0.061979998,0.049439996,AUD,
