,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Mr. David John King', 'age': 62, 'title': 'CEO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1195000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
1,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Mr. Ory  Weihs', 'age': 41, 'title': 'Co-Founder & Non-executive Director', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 60000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
2,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Ms. Caroline  Ackroyd', 'age': 44, 'title': 'CFO & Director', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 284000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
3,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Ms. Karen  Tyrrell', 'title': 'Chief People & Operations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
4,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Mr. Nigel  Leigh', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
5,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Mr. Peter Michael McCall', 'title': 'Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
6,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': ""Mr. Shaun  O'Neill"", 'title': 'Head of Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
7,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Carter', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
8,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Mr. Kevin  Duffey', 'title': 'Pres of North America', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
9,IFC 5,Saint Helier,JE1 1ST,Jersey,44 20 8817 5283,https://www.xlmedia.com,Publishing,Communication Services,"XLMedia PLC operates as a digital media company that creates content for audiences and connects them to relevant advertisers in North America and Europe. It owns and operates various sites in gambling, sports media, and sports betting. The company was formerly known as Webpals Marketing Systems Ltd. and changed its name to XLMedia PLC in November 2013. XLMedia PLC was founded in 2008 and is based in Saint Helier, the United Kingdom.",193,"{'maxAge': 1, 'name': 'Mr. Cody  Darwick', 'title': 'Sr. Director of Media Partnership', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.133,0.148,0.131,0.148,0.133,0.148,0.131,0.148,1570060800,0.0,1.879504,13.1,11190,11190,57150,9096,9096,0.0,0.0,0,0,38137244,0.07,0.45,0.5311224,0.1421206,0.1692739,0.0,0.0,USD,24381874,-0.13145,159347890,259898000,0.32301,0.11322,0.391,0.33503836,1672444800,1703980800,1672444800,2353000,0.01,0.34,2.43,PNK,EQUITY,XLMDF,XLMDF,XLMEDIA PLC,XLMedia PLC,1509629400,America/New_York,EDT,-14400000,0.131,none,10753000,0.042,10032000,1528000,0.684,0.774,71805000,1.524,0.273,0.04138,0.02247,39755000,-6510250,15753000,0.55365,0.13971,0.13531,USD,
