,address1,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,909 Montgomery Street,San Francisco,CA,94133,United States,415 551 8600,Conglomerates,Industrials,"Ironstone Properties, Inc. does not have significant operations. It focuses on seeking appropriate business combination opportunities. The company was formerly known as Ironstone Group, Inc. and changed its name to Ironstone Properties, Inc. in September 2021. Ironstone Properties, Inc. was incorporated in 1972 and is based in San Francisco, California.","{'maxAge': 1, 'name': 'Mr. William Robert Hambrecht', 'age': 86, 'title': 'CEO & Director', 'yearBorn': 1936, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 34859}",1672444800,86400,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,-1.92047,100,100,0,0,0,15626205,4.5,4.5,4.5,4.5,0.0,0.0,USD,15232938,0.0,275368,3472490,0.3152,0.39080003,0.61,7.377049,1672444800,1703980800,1672444800,-637947,-0.26,PNK,EQUITY,IRNS,IRNS,IRONSTONE GROUP INC,"Ironstone Properties, Inc.",978445800,America/New_York,EDT,-14400000,4.5,none,5895,0.002,2967535,0.015,0.015,178.407,-0.03698,-0.37303,-330363,-952800,0.0,0.0,0.0,USD,
1,909 Montgomery Street,San Francisco,CA,94133,United States,415 551 8600,Conglomerates,Industrials,"Ironstone Properties, Inc. does not have significant operations. It focuses on seeking appropriate business combination opportunities. The company was formerly known as Ironstone Group, Inc. and changed its name to Ironstone Properties, Inc. in September 2021. Ironstone Properties, Inc. was incorporated in 1972 and is based in San Francisco, California.","{'maxAge': 1, 'name': 'Mr. Eugene Alan Yates', 'age': 58, 'title': 'Chief Financial Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 17763, 'exercisedValue': 0, 'unexercisedValue': 34859}",1672444800,86400,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,-1.92047,100,100,0,0,0,15626205,4.5,4.5,4.5,4.5,0.0,0.0,USD,15232938,0.0,275368,3472490,0.3152,0.39080003,0.61,7.377049,1672444800,1703980800,1672444800,-637947,-0.26,PNK,EQUITY,IRNS,IRNS,IRONSTONE GROUP INC,"Ironstone Properties, Inc.",978445800,America/New_York,EDT,-14400000,4.5,none,5895,0.002,2967535,0.015,0.015,178.407,-0.03698,-0.37303,-330363,-952800,0.0,0.0,0.0,USD,
