,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Kevan S. Gorrie ICD.D, P. Eng', 'age': 53, 'title': 'Pres, CEO & Trustee', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 2041200, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
1,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Ms. Teresa  Neto CA', 'age': 56, 'title': 'Chief Financial Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 977405, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
2,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Michael A. Ramparas', 'title': 'Exec. VP of Global Real Estate & Head of Investments', 'fiscalYear': 2022, 'totalPay': 917900, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
3,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Lawrence  Clarfield', 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'fiscalYear': 2022, 'totalPay': 806550, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
4,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Lorne  Kumer', 'title': 'Exec. VP & Head of Global Real Estate', 'fiscalYear': 2022, 'totalPay': 977405, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
5,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Ms. Stephanie  Karamarkovic', 'title': 'VP of Accounting & Financial Reporting', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
6,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Andrea  Sanelli', 'title': 'Mang. of Legal & Investor Services', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
7,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Witsard  Schaper', 'title': 'Sr. VP & Head of Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
8,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Jon  Sorg', 'title': 'Sr. VP & Head of U.S.', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
9,Toronto-Dominion Centre,"77 King Street West, Suite 4010",Toronto,ON,M5K 1H1,Canada,(647) 925-7500,(416) 861-1240,https://www.granitereit.com,REIT—Industrial,Real Estate,"Granite is a Canadian-based REIT engaged in the acquisition, development, ownership and management of logistics, warehouse and industrial properties in North America and Europe. Granite owns 140 investment properties representing approximately 59.4 million square feet of leasable area.",69,"{'maxAge': 1, 'name': 'Mr. Keith  Stephen', 'title': 'VP of Sustainability & Environment', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,1,1693526400,1672444800,86400,2,76.51,76.2,75.72,77.06,76.51,76.2,75.72,77.06,3.2,0.0416,1693353600,3.99,1.03195,14.528301,100391,100391,66158,49600,49600,76.55,76.95,0,0,4908272640,63.29,88.58,9.872622,76.2398,79.0265,3.16,0.04130179,CAD,7894631936,-0.29645002,63537935,63743800,153379,154516,1690761600,1693440000,0.0023999999,0.00336,0.73283994,2.46,84.173,0.9147827,1672444800,1703980800,1688083200,-147384992,-2.15,5.3,15.879,21.121,TOR,EQUITY,GRT-UN.TO,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,Granite Real Estate Investment Trust,1101911400,America/Toronto,EDT,-14400000,77.0,100.0,91.0,95.5,94.5,1.6,buy,10,119164000,1.869,373788992,3100432896,0.239,0.3,497160000,57.729,7.799,0.02549,-0.026770001,380358000,361833248,295664000,0.187,0.82945,0.75184995,0.74887,CAD,
