,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Mr. Gerard J. Hart', 'age': 64, 'title': 'CEO, Director & Pres', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 2203743, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
1,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Mr. Todd  Wilson', 'age': 44, 'title': 'Exec. VP & CFO', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 468721, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
2,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Ms. Sarah A. Mussetter', 'age': 43, 'title': 'Exec. VP, Chief Legal Officer & Sec.', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 436878, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
3,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Ms. Cheri L. Kinder', 'age': 54, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
4,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Deena  DePhillips', 'title': 'VP of Technology', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
5,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Mr. Kevin E. Mayer', 'age': 52, 'title': 'Chief Marketing Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
6,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Mr. Mark  Simpson', 'title': 'Interim Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
7,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Ms. Denny Marie Post', 'age': 64, 'title': 'Advisor', 'yearBorn': 1958, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
8,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Jason  Rusk', 'title': 'Chief Bus. Devel. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
9,10000 East Geddes Avenue,Suite 500,Englewood,CO,80110,United States,303 846 6000,https://www.redrobin.com,Restaurants,Consumer Cyclical,"Red Robin Gourmet Burgers, Inc., together with its subsidiaries, develops, operates, and franchises casual-dining restaurants, in North America and one Canadian province. The company's restaurants primarily offer burgers and pizza, appetizers, salads, soups, other entrees, desserts, wings, milkshakes, alcoholic and non-alcoholic specialty drinks, cocktails, wine, and beers. Red Robin Gourmet Burgers, Inc. was founded in 1969 and is based in Greenwood Village, Colorado.",24335,"{'maxAge': 1, 'name': 'Mr. Michael L. Kaplan J.D.', 'age': 53, 'title': 'Sec.', 'yearBorn': 1969, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,8,1,3,1693526400,1672444800,86400,2,10.2,10.17,9.84,10.215,10.2,10.17,9.84,10.215,0.0,2.911134,-16.032257,383453,383453,361122,332150,332150,9.8,10.5,900,800,158334256,5.35,16.5,0.12236533,12.5268,11.436,0.0,0.0,USD,754290624,-0.04296,12375240,15929000,3017685,3226971,1689292800,1692057600,0.1894,0.03847,0.89272004,13.25,0.2237,0.19,52.31579,1671926400,1703462400,1688860800,-55589000,-3.65,-0.62,-0.94,0.583,12.575,NMS,EQUITY,RRGB,RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc.",1027085400,America/New_York,EDT,-14400000,9.94,22.0,12.0,17.0,17.0,2.7,hold,2,44034000,2.764,59982000,631548032,0.28,0.537,1293947008,20870.72,81.097,-0.00913,-1.7210001,195972000,1761500,17318000,0.016,0.15211001,0.04636,-0.0095,USD,
