,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Jeremy D. Thigpen', 'age': 47, 'title': 'CEO & Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 3141984, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
1,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Keelan I. Adamson', 'age': 52, 'title': 'Pres & COO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1821027, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
2,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Mark-Anthony Lovell Mey Sr.', 'age': 59, 'title': 'Exec. VP & CFO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1789782, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
3,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Howard E. Davis', 'age': 63, 'title': 'Exec. VP, Chief Admin. Officer & Chief Information Officer', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 1290520, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
4,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Brady K. Long', 'age': 49, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1391954, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
5,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. David A. Tonnel', 'age': 52, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1970, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
6,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Robert Thaddeus Vayda', 'title': 'Sr. VP of Corp. Fin. & Treasurer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
7,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Alison  Johnson', 'title': 'Sr. Mang. of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
8,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Ms. Janelle  Daniel', 'title': 'Sr. VP of HR, Sustainability & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
9,Turmstrasse 30,Steinhausen,6312,Switzerland,41 41 749 0500,https://www.deepwater.com,Oil & Gas Drilling,Energy,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. It contracts its mobile offshore drilling rigs, related equipment, and work crews to drill oil and gas wells. It serves integrated energy companies, government-owned or government-controlled energy companies, and other independent energy companies. Transocean Ltd. was founded in 1926 and is based in Steinhausen, Switzerland.",5040,"{'maxAge': 1, 'name': 'Mr. Roddie  Mackenzie', 'title': 'Exec. VP & Chief Commercial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,5,3,3,1693526400,1672444800,86400,2,8.66,8.67,8.29,8.88,8.66,8.67,8.29,8.88,1440115200,0.0,2.990318,19.785715,26805958,26805958,15279932,17965780,17965780,8.3,8.33,3100,1800,6370903040,2.33,8.88,2.381646,8.2136,6.5548,0.0,0.0,USD,13289233408,-0.37682,630098559,766654976,137792505,143013182,1690761600,1693440000,0.17969999,0.07238,0.70193,10.27,0.19389999,13.571,0.61233515,1672444800,1703980800,1688083200,-1008000000,-1.48,0.42,-0.05,6996:10000,1196121600,4.968,15.346,NYQ,EQUITY,RIG,RIG,Transocean Ltd (Switzerland),Transocean Ltd.,738595800,America/New_York,EDT,-14400000,8.31,12.0,6.0,8.77,8.0,2.6,hold,13,821000000,1.071,866000000,7447000064,1.257,1.959,2675000064,71.571,3.652,0.00107,-0.09342,907000000,53875000,518000000,0.053,0.35849997,0.32374,0.01308,USD,
