,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,5605 FM 423,Suite 500,Frisco,TX,75036,United States,469 333 7104,https://www.skypetroleum.com,Oil & Gas E&P,Energy,"Sky Petroleum, Inc. acquires, explores, develops, and produces oil and natural gas properties of others under arrangements in which the company finances the costs in exchange for interests in the oil or natural gas revenue generated by the properties. It has a production sharing contract with the Ministry of Economy, Trade and Energy of Albania for three exploration blocks, including Four, Five, and Dumre blocks in the Republic of Albania. The company was formerly known as Seaside Explorations, Inc. and changed its name to Sky Petroleum, Inc. in March 2005. Sky Petroleum, Inc. was founded in 2002 and is based in Frisco, Texas.","{'maxAge': 1, 'name': 'Mr. Karim  Jobanputra', 'age': 57, 'title': 'Chairman, Interim Principal Exec Officer, Interim Principal Accounting Officer & Corp. Sec.', 'yearBorn': 1965, 'fiscalYear': 2014, 'totalPay': 15000, 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,-125.720955,Infinity,5000,5000,600,0,0,0.0,0.0,0,0,3826684,0.0001,0.05,0.041,0.010699,0.0,0.0,USD,12068984,0.0,76533696,0.00261,0.0,-0.126,1419984000,1451520000,1419984000,66014,0.0,4:1,1112745600,-19.481,PNK,EQUITY,SKPI,SKPI,SKY PETROLEUM INC,"Sky Petroleum, Inc.",1112365800,America/New_York,EDT,-14400000,0.05,1.25,1.25,1.25,1.25,none,1,13534,0.0,-619530,435833,0.008,0.008,-2.32337,-1287027,-458461,0.0,0.0,0.0,USD,
1,5605 FM 423,Suite 500,Frisco,TX,75036,United States,469 333 7104,https://www.skypetroleum.com,Oil & Gas E&P,Energy,"Sky Petroleum, Inc. acquires, explores, develops, and produces oil and natural gas properties of others under arrangements in which the company finances the costs in exchange for interests in the oil or natural gas revenue generated by the properties. It has a production sharing contract with the Ministry of Economy, Trade and Energy of Albania for three exploration blocks, including Four, Five, and Dumre blocks in the Republic of Albania. The company was formerly known as Seaside Explorations, Inc. and changed its name to Sky Petroleum, Inc. in March 2005. Sky Petroleum, Inc. was founded in 2002 and is based in Frisco, Texas.","{'maxAge': 1, 'name': 'Mr. Shafiq Ur Rahman', 'age': 69, 'title': 'Mang. of Fin. & Admin.', 'yearBorn': 1953, 'fiscalYear': 2012, 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,-125.720955,Infinity,5000,5000,600,0,0,0.0,0.0,0,0,3826684,0.0001,0.05,0.041,0.010699,0.0,0.0,USD,12068984,0.0,76533696,0.00261,0.0,-0.126,1419984000,1451520000,1419984000,66014,0.0,4:1,1112745600,-19.481,PNK,EQUITY,SKPI,SKPI,SKY PETROLEUM INC,"Sky Petroleum, Inc.",1112365800,America/New_York,EDT,-14400000,0.05,1.25,1.25,1.25,1.25,none,1,13534,0.0,-619530,435833,0.008,0.008,-2.32337,-1287027,-458461,0.0,0.0,0.0,USD,
