,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,16 Nicholson Road,Suite 1,Subiaco,WA,6008,Australia,61 8 6263 4738,https://www.incaminerals.com.au,Other Industrial Metals & Mining,Other Industrial Metals & Mining,Basic Materials,Basic Materials,"Inca Minerals Limited, a junior resource company, engages in the acquisition, exploration, evaluation, and development of mineral properties. The company explores for gold, copper, silver, zinc, molybdenum, and lead deposits. Its flagship project is the Riqueza project located in Peru. The company was incorporated in 2008 and is based in Subiaco, Australia.","{'maxAge': 1, 'name': 'Ms. Emma  Curnow B.Com.', 'title': 'Joint Company Sec. & CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.02,0.021,0.021,0.021,0.02,0.021,0.021,0.021,0.0,1.506756,50000,50000,267588,103182,103182,0.02,0.021,0,0,10206210,0.015,0.042,52.599567,0.0256,0.023445,0.0,0.0,AUD,8173439,0.0,365167739,486009984,0.2581,0.0,486009984,0.026,0.8076923,1656547200,1688083200,1672444800,-11897631,-0.02,1:20,1598486400,42.123,-4.826,-0.46153843,0.14113986,ASX,EQUITY,ICG.AX,ICG.AX,INCA MINLS FPO,Inca Minerals Limited,1213833600,Australia/Sydney,AEST,c854e887-128d-3fea-b474-bdbe4754a203,finmb_145307003,36000000,0.021,none,1480255,0.003,-1693735,7208,4.754,4.863,194036,0.053,0.0,-0.37825,-0.62051,194036,-3866411,-1047942,1.0,0.0,-60.829514,AUD,
1,16 Nicholson Road,Suite 1,Subiaco,WA,6008,Australia,61 8 6263 4738,https://www.incaminerals.com.au,Other Industrial Metals & Mining,Other Industrial Metals & Mining,Basic Materials,Basic Materials,"Inca Minerals Limited, a junior resource company, engages in the acquisition, exploration, evaluation, and development of mineral properties. The company explores for gold, copper, silver, zinc, molybdenum, and lead deposits. Its flagship project is the Riqueza project located in Peru. The company was incorporated in 2008 and is based in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Tilo  Kroll', 'title': 'Chief Geologist', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.02,0.021,0.021,0.021,0.02,0.021,0.021,0.021,0.0,1.506756,50000,50000,267588,103182,103182,0.02,0.021,0,0,10206210,0.015,0.042,52.599567,0.0256,0.023445,0.0,0.0,AUD,8173439,0.0,365167739,486009984,0.2581,0.0,486009984,0.026,0.8076923,1656547200,1688083200,1672444800,-11897631,-0.02,1:20,1598486400,42.123,-4.826,-0.46153843,0.14113986,ASX,EQUITY,ICG.AX,ICG.AX,INCA MINLS FPO,Inca Minerals Limited,1213833600,Australia/Sydney,AEST,c854e887-128d-3fea-b474-bdbe4754a203,finmb_145307003,36000000,0.021,none,1480255,0.003,-1693735,7208,4.754,4.863,194036,0.053,0.0,-0.37825,-0.62051,194036,-3866411,-1047942,1.0,0.0,-60.829514,AUD,
2,16 Nicholson Road,Suite 1,Subiaco,WA,6008,Australia,61 8 6263 4738,https://www.incaminerals.com.au,Other Industrial Metals & Mining,Other Industrial Metals & Mining,Basic Materials,Basic Materials,"Inca Minerals Limited, a junior resource company, engages in the acquisition, exploration, evaluation, and development of mineral properties. The company explores for gold, copper, silver, zinc, molybdenum, and lead deposits. Its flagship project is the Riqueza project located in Peru. The company was incorporated in 2008 and is based in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Malcolm K. Smartt B.A., FCIM, FCIS, FCPA', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.02,0.021,0.021,0.021,0.02,0.021,0.021,0.021,0.0,1.506756,50000,50000,267588,103182,103182,0.02,0.021,0,0,10206210,0.015,0.042,52.599567,0.0256,0.023445,0.0,0.0,AUD,8173439,0.0,365167739,486009984,0.2581,0.0,486009984,0.026,0.8076923,1656547200,1688083200,1672444800,-11897631,-0.02,1:20,1598486400,42.123,-4.826,-0.46153843,0.14113986,ASX,EQUITY,ICG.AX,ICG.AX,INCA MINLS FPO,Inca Minerals Limited,1213833600,Australia/Sydney,AEST,c854e887-128d-3fea-b474-bdbe4754a203,finmb_145307003,36000000,0.021,none,1480255,0.003,-1693735,7208,4.754,4.863,194036,0.053,0.0,-0.37825,-0.62051,194036,-3866411,-1047942,1.0,0.0,-60.829514,AUD,
