,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Nexus Way,Camana Bay,Grand Cayman,KY1-9005,Cayman Islands,https://www.cnfgold.com,Gold,Basic Materials,"China Nonferrous Gold Limited engages in exploration, mine development, and mining activities in the Cayman Islands. It primarily holds a 100% interest in the Pakrut gold project comprising an area of approximately 6,300 hectares located in the southern Tien-Shan Fold belt, Tajikistan. The company was formerly known as Kryso Resources Corporation Limited and changed its name to China Nonferrous Gold Limited in October 2013. The company was incorporated in 2013 and is based in Grand Cayman, Cayman Islands. China Nonferrous Gold Limited operates as a subsidiary of China Nonferrous Metals Mining (Group) Co. Limited.",701,"{'maxAge': 1, 'name': 'Mr. Xiaohua  Wang', 'age': 52, 'title': 'Fin. Director & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 187082, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.755,0.6472,0.6,0.6472,0.755,0.6472,0.6,0.6472,0.0,0.072822,393028,393028,93693,305008,305008,0.645,0.865,0,0,5602046,0.6,4.5,0.08175186,1.41772,2.09213,0.0,0.0,GBp,377596352,0.0,106408303,382392000,0.72173,0.04315,-0.82,1672444800,1703980800,1672444800,-287043008,-5.77,5.51,17.319,LSE,EQUITY,CNG.L,CNG.L,CHINA NONFERROUS GOLD LIMITED O,China Nonferrous Gold Limited,1066374000,Europe/London,BST,3600000,0.725,none,4544000,0.012,21803000,379368000,0.015,0.06,68525000,0.179,0.00808,28440000,-24889500,8865000,-0.081,0.41502997,0.31816998,0.045500003,USD,
1,One Nexus Way,Camana Bay,Grand Cayman,KY1-9005,Cayman Islands,https://www.cnfgold.com,Gold,Basic Materials,"China Nonferrous Gold Limited engages in exploration, mine development, and mining activities in the Cayman Islands. It primarily holds a 100% interest in the Pakrut gold project comprising an area of approximately 6,300 hectares located in the southern Tien-Shan Fold belt, Tajikistan. The company was formerly known as Kryso Resources Corporation Limited and changed its name to China Nonferrous Gold Limited in October 2013. The company was incorporated in 2013 and is based in Grand Cayman, Cayman Islands. China Nonferrous Gold Limited operates as a subsidiary of China Nonferrous Metals Mining (Group) Co. Limited.",701,"{'maxAge': 1, 'name': 'Mr. Zhishuo  Feng', 'age': 41, 'title': 'MD, Company Sec. & Exec. Director', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.755,0.6472,0.6,0.6472,0.755,0.6472,0.6,0.6472,0.0,0.072822,393028,393028,93693,305008,305008,0.645,0.865,0,0,5602046,0.6,4.5,0.08175186,1.41772,2.09213,0.0,0.0,GBp,377596352,0.0,106408303,382392000,0.72173,0.04315,-0.82,1672444800,1703980800,1672444800,-287043008,-5.77,5.51,17.319,LSE,EQUITY,CNG.L,CNG.L,CHINA NONFERROUS GOLD LIMITED O,China Nonferrous Gold Limited,1066374000,Europe/London,BST,3600000,0.725,none,4544000,0.012,21803000,379368000,0.015,0.06,68525000,0.179,0.00808,28440000,-24889500,8865000,-0.081,0.41502997,0.31816998,0.045500003,USD,
