,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Mr. David Allen Brandon', 'age': 70, 'title': 'Exec. Chairman', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 178266, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
1,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Mr. Russell J. Weiner', 'age': 54, 'title': 'CEO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 2083074, 'exercisedValue': 0, 'unexercisedValue': 11582861}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
2,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Mr. Sandeep  Reddy', 'age': 51, 'title': 'Exec. VP & CFO', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1941624, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
3,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Mr. Kelly E. Garcia', 'age': 45, 'title': 'Exec. VP & CTO', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 763183, 'exercisedValue': 0, 'unexercisedValue': 2138926}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
4,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Mr. Joseph Hugh Jordan', 'age': 48, 'title': 'Pres of U.S. & Global Services', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 1792524, 'exercisedValue': 0, 'unexercisedValue': 3537036}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
5,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': ""Mr. Arthur P. D'Elia"", 'age': 44, 'title': 'Exec. VP of International', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 776455, 'exercisedValue': 0, 'unexercisedValue': 63377}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
6,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Ms. Jessica L. Parrish', 'age': 37, 'title': 'VP, Chief Accounting Officer & Treasurer', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
7,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Ryan  Goers', 'title': 'VP of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
8,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Mr. Kevin Scott Morris', 'age': 61, 'title': 'Exec. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1961, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
9,30 Frank Lloyd Wright Drive,Ann Arbor,MI,48105,United States,734 930 3030,https://www.ir.dominos.com,Restaurants,Consumer Cyclical,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",6500,"{'maxAge': 1, 'name': 'Jenny  Fouracre-Petko', 'title': 'Director of PR & Charitable Giving', 'exercisedValue': 0, 'unexercisedValue': 0}",8,6,8,10,9,1693526400,1672444800,86400,2,399.07,397.84,387.06,398.88,399.07,397.84,387.06,398.88,4.84,0.0125,1694649600,0.34919998,0.94,0.850622,29.319246,24.71247,1256325,1256325,580908,549790,549790,387.82,389.5,800,900,13633433600,285.84,409.95,3.0230334,388.509,345.04266,4.62,0.011576916,USD,18783143936,0.10487001,34891810,35094300,1494015,1570276,1690761600,1693440000,0.042600002,0.0055,0.96612,3.62,0.0551,-118.849,1672531200,1704067200,1687046400,0.067,472956000,13.25,15.72,2.38,4.165,21.998,NYQ,EQUITY,DPZ,DPZ,Domino's Pizza Inc,"Domino's Pizza, Inc.",1089725400,America/New_York,EDT,-14400000,388.48,483.0,320.0,418.42,430.0,2.3,buy,26,77020000,2.195,853844992,5226727936,0.616,1.46,4509852160,127.422,0.30705,1163276000,386723744,564193024,0.092,-0.038,0.26433,0.18933001,0.17793,USD,2.2563
