,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendYield,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1103 12th Avenue East,Palmetto,FL,34221,United States,941-729-5000,941-729-5005,https://www.jupitermarine.com,Leisure,Consumer Cyclical,"Jupiter Marine International Holdings, Inc. manufactures and sells sport fishing boats in the United States. The company was founded in 1989 and is based in Palmetto, Florida.",70,"{'maxAge': 1, 'name': 'Mr. Carl M. Herndon Sr.', 'age': 83, 'title': 'CEO, Pres & Director', 'yearBorn': 1939, 'fiscalYear': 2003, 'exercisedValue': 0, 'unexercisedValue': 0}",1199059200,86400,4,0.0055,0.0048,0.0055,0.0055,0.0055,0.0048,0.0055,0.0055,0.0011999999,0.0,2.183264,80000,80000,1699,8000,8000,0.0,0.0,0,0,188639,0.0001,0.0055,0.012418126,0.00118,0.0004285,0.0,0.0,USD,373999,-0.08558,0,0.085,0.06470588,1185580800,1217203200,1193443200,5.362,-1299990,-0.04,0.025,1.392,PNK,EQUITY,JMIH,JMIH,JUPITER MARINE INTL HLDGS INC,"Jupiter Marine International Holdings, Inc.",972048600,America/New_York,EDT,-14400000,0.0055,none,341031,0.018,268645,611279,0.119,0.734,15190618,38.129,0.805,-0.02884,-0.58504003,2706370,1862132,1728248,5.368,-0.009,0.18303,0.01768,-0.01606,USD,
1,1103 12th Avenue East,Palmetto,FL,34221,United States,941-729-5000,941-729-5005,https://www.jupitermarine.com,Leisure,Consumer Cyclical,"Jupiter Marine International Holdings, Inc. manufactures and sells sport fishing boats in the United States. The company was founded in 1989 and is based in Palmetto, Florida.",70,"{'maxAge': 1, 'name': 'Mr. Lawrence S. Tierney', 'age': 76, 'title': 'COO, CFO, VP, Sec. & Director', 'yearBorn': 1946, 'fiscalYear': 2003, 'exercisedValue': 0, 'unexercisedValue': 0}",1199059200,86400,4,0.0055,0.0048,0.0055,0.0055,0.0055,0.0048,0.0055,0.0055,0.0011999999,0.0,2.183264,80000,80000,1699,8000,8000,0.0,0.0,0,0,188639,0.0001,0.0055,0.012418126,0.00118,0.0004285,0.0,0.0,USD,373999,-0.08558,0,0.085,0.06470588,1185580800,1217203200,1193443200,5.362,-1299990,-0.04,0.025,1.392,PNK,EQUITY,JMIH,JMIH,JUPITER MARINE INTL HLDGS INC,"Jupiter Marine International Holdings, Inc.",972048600,America/New_York,EDT,-14400000,0.0055,none,341031,0.018,268645,611279,0.119,0.734,15190618,38.129,0.805,-0.02884,-0.58504003,2706370,1862132,1728248,5.368,-0.009,0.18303,0.01768,-0.01606,USD,
