,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. -  Mulianto', 'age': 52, 'title': 'Pres Director', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
1,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. Junius Prakasa Darmawan', 'age': 43, 'title': 'Director of Fin. & Director', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
2,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': '-  Anthony', 'title': 'Head of Financial Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
3,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. Yulius Kurniawan Gozali', 'age': 49, 'title': 'Director of Corp. Communications & Investor Relations and Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
4,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Ms. Monika Ida Krisnamurti', 'age': 39, 'title': 'Head of Legal & Corp. Sec.', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
5,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Tulus Sebastian Situmeang', 'title': 'Head of Sales Compliance & Quality Management', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
6,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. Jusnan  Ruslan', 'age': 56, 'title': 'Director of Sales & Logistics and Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
7,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. Cornelius Ariyanto Wibisono', 'age': 50, 'title': 'Head of HR', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
8,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. Stephanus Demo Wawin', 'age': 51, 'title': 'Director of Digital Center of Excellence & Director', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
9,Pondok Indah Office Tower III,3rd Floor Jalan Sultan Iskandar Muda Pondok Indah Kav V-TA,Jakarta,12310,Indonesia,62 21 2932 8100,62 21 2932 7999,https://www.itmg.co.id,Thermal Coal,Energy,"PT Indo Tambangraya Megah Tbk, together with its subsidiaries, engages in coal mining activities. The company operates mining concessions in the island of Kalimantan covering East, Central, and South Kalimantan. It also owns and operates the Bontang Coal Terminal, loading ports, and Bontang power plant. In addition, the company provides mining support, coal and fuel trading, fuel distribution, coal transportation, and alternative energy trading services, as well as engages in renewable power generation activities. It primarily sells its coal in Indonesia, India, Pakistan, Taiwan, China, Hong Kong, Korea, Japan, Europe, and other countries. The company was founded in 1987 and is headquartered in South Jakarta, Indonesia. PT Indo Tambangraya Megah Tbk operates as a subsidiary of Banpu Minerals (Singapore) Pte. Ltd.",2295,"{'maxAge': 1, 'name': 'Mr. Ignatius  Wurwanto', 'age': 56, 'title': 'Director for Sustainability & Risk Management and Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,29350.0,29400.0,28700.0,29500.0,29350.0,29400.0,28700.0,29500.0,5320.0,0.1834,1694476800,0.7512,16.37,0.518284,2.0292208,5.6399055,1882100,1882100,1949996,3192670,3192670,29100.0,29175.0,0,0,32767679135744,22125.0,45650.0,9325.263,27924.5,32543.125,0.586,1.996593e-05,IDR,32766852857856,0.29773,373395016,1129920000,0.67722,0.08375,1.588,18261.965,1672444800,1703980800,1688083200,-0.498,1046193984,14291.2,5141.93,0.0,9325.028,23066.832,JKT,EQUITY,ITMG.JK,ITMG.JK,Indo Tambangraya Megah Tbk,PT Indo Tambangraya Megah Tbk,1197943200,Asia/Jakarta,WIB,25200000,29000.0,45107.4,15395.0,29096.6,25555.7,3.1,hold,13,1017052032,0.9,1420518016,42148000,3.792,4.379,3513861120,2.346,3.11,0.4023,0.6378,1948807000,950780992,1142440960,-0.498,-0.215,0.47318,0.40425998,0.38476002,USD,
