,address1,address2,city,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Sh. Rashid Building,Sh. Zayed Road PO Box 50006,Dubai,United Arab Emirates,97 14 321 0312,https://www.3powerenergy.com,Utilities—Renewable,Utilities,"3Power Energy Group, Inc. focuses on developing, building, and operating power plants. The company generates electricity through solar and hydro resources. It has a hydro-electrical project with a total installed power of 127.6 megawatts of Shala River in Albania. The company was formerly known as Prime Sun Power Inc. and changed its name to 3Power Energy Group, Inc. in March 2011. 3Power Energy Group, Inc. was incorporated in 2002 and is based in Dubai, the United Arab Emirates.",6,"{'maxAge': 1, 'name': 'Mr. Sharif  Rahman', 'age': 72, 'title': 'CEO, CFO, Chief Accounting Officer & Director', 'yearBorn': 1950, 'fiscalYear': 2017, 'totalPay': 180000, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0,2.828492,Infinity,1061,1061,98,126,126,0.0,0.0,0,0,49921684,0.0003,0.002,0.0006,0.0008005,0.0,0.0,USD,215644,0.0,241675936,274295008,0.11892,0.0,-0.021,1490918400,1522454400,1514678400,978528,0.0,7:1,1202256000,-0.328,PNK,EQUITY,PSPW,PSPW,3POWER ENERGY GROUP INC,"3Power Energy Group, Inc.",1131460200,America/New_York,EDT,-14400000,0.0012,none,8857,0.0,-657483,564219,0.001,0.05,-1.9955499,-1947256,159,0.0,0.0,0.0,USD,
1,Sh. Rashid Building,Sh. Zayed Road PO Box 50006,Dubai,United Arab Emirates,97 14 321 0312,https://www.3powerenergy.com,Utilities—Renewable,Utilities,"3Power Energy Group, Inc. focuses on developing, building, and operating power plants. The company generates electricity through solar and hydro resources. It has a hydro-electrical project with a total installed power of 127.6 megawatts of Shala River in Albania. The company was formerly known as Prime Sun Power Inc. and changed its name to 3Power Energy Group, Inc. in March 2011. 3Power Energy Group, Inc. was incorporated in 2002 and is based in Dubai, the United Arab Emirates.",6,"{'maxAge': 1, 'name': 'Mr. Mohammed Abdulrahman Falaknaz', 'age': 55, 'title': 'Chairman & Pres', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0,2.828492,Infinity,1061,1061,98,126,126,0.0,0.0,0,0,49921684,0.0003,0.002,0.0006,0.0008005,0.0,0.0,USD,215644,0.0,241675936,274295008,0.11892,0.0,-0.021,1490918400,1522454400,1514678400,978528,0.0,7:1,1202256000,-0.328,PNK,EQUITY,PSPW,PSPW,3POWER ENERGY GROUP INC,"3Power Energy Group, Inc.",1131460200,America/New_York,EDT,-14400000,0.0012,none,8857,0.0,-657483,564219,0.001,0.05,-1.9955499,-1947256,159,0.0,0.0,0.0,USD,
