,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Mr. David L. Bortolussi B.Com., BComm, F.C.A., FCA, FFin', 'age': 53, 'title': 'MD, CEO & Director', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 2794646, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
1,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Mr. David  Muscat BComm, CA', 'age': 43, 'title': 'Chief Financial Officer', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
2,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Mr. David  Akers', 'title': 'Group Head of Investor Relations & Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
3,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Mr. Jaron  McVicar', 'title': 'Chief Legal & Sustainability Officer and Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
4,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Ms. Edith  Bailey', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
5,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Ms. Amanda  Hart', 'title': 'Chief People & Culture Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
6,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Mr. Li  Xiao', 'title': 'Chief Exec. of Greater China', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
7,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Ms. Eleanor  Khor', 'title': 'Managing Director of ANZ & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
8,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Ms. Janelle  Tong', 'title': 'Group Head of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
9,51 Shortland Street,Level 10,Auckland,1010,New Zealand,https://www.thea2milkcompany.com,Packaged Foods,Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. The company also engages in the manufacturing and sale of nutritional and commodity products. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",465,"{'maxAge': 1, 'name': 'Mr. Yohan  Senaratne', 'title': 'Managing Director of International', 'exercisedValue': 0, 'unexercisedValue': 0}",7,7,5,10,9,1693526400,1703980800,86400,4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.060435,22.916668,40,40,2633,1850,1850,0.0,0.0,0,0,2049027712,2.66,4.91,1.2878155,3.16988,3.86293,0.0,0.0,USD,1288409600,0.09782,718756200,721976000,0.03576,0.24924,1.587,1.7328292,1688083200,1719705600,1688083200,0.299,155638000,0.12,0.81,6.022,PNK,EQUITY,ACOPF,ACOPF,THE A2 MILK COMPANY LTD,The a2 Milk Company Limited,1366983000,America/New_York,EDT,-14400000,2.75,none,802233984,1.111,213939008,101528000,2.324,2.959,1591088000,8.832,2.17,0.07559,0.12361,739163000,75410624,111283000,0.325,0.031,0.46456,0.13446,0.12647,NZD,
