,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"No. 199, Chang'an East Road",8th Floor Section 2 Zhongshan District,Taipei,10490,Taiwan,886 2 2778 8255,886 2 2711 0017,https://www.leyoung.com.tw,Real Estate—Diversified,Real Estate,"Le Young Construction Co., Ltd. builds, rents, and sells residential and commercial buildings in Taiwan. The company was founded in 1993 and is based in Taipei City, Taiwan.","{'maxAge': 1, 'name': '-  Wang', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.2,15.0,14.9,15.2,15.2,15.0,14.9,15.2,1.5,0.099,1688688000,2.6785998,10.18,0.103058,27.142857,301390,301390,48657,0,0,0.0,0.0,0,0,1497567872,14.5,17.5,4.6121726,15.188,15.9695,1.5,0.098684214,TWD,407253792,0.17167,98524200,20.204,0.75232625,1672444800,1703980800,1688083200,-0.017,55741000,0.56,1001:1000,1564099200,1.254,6.82,TWO,EQUITY,2599.TWO,2599.TWO,Le Young,"Le Young Construction Co., Ltd.",1340240400,Asia/Taipei,CST,28800000,15.2,none,1093678976,11.101,59715000,1515000,3.602,6.426,324699008,0.076,3.296,0.014889999,0.027560001,116312000,58136248,76322000,-0.02,1.52,0.32083,0.18391001,0.17111999,TWD,
1,"No. 199, Chang'an East Road",8th Floor Section 2 Zhongshan District,Taipei,10490,Taiwan,886 2 2778 8255,886 2 2711 0017,https://www.leyoung.com.tw,Real Estate—Diversified,Real Estate,"Le Young Construction Co., Ltd. builds, rents, and sells residential and commercial buildings in Taiwan. The company was founded in 1993 and is based in Taipei City, Taiwan.","{'maxAge': 1, 'name': 'Xue E  Zou', 'title': 'Vice Gen. Mang. and Legal Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,15.2,15.0,14.9,15.2,15.2,15.0,14.9,15.2,1.5,0.099,1688688000,2.6785998,10.18,0.103058,27.142857,301390,301390,48657,0,0,0.0,0.0,0,0,1497567872,14.5,17.5,4.6121726,15.188,15.9695,1.5,0.098684214,TWD,407253792,0.17167,98524200,20.204,0.75232625,1672444800,1703980800,1688083200,-0.017,55741000,0.56,1001:1000,1564099200,1.254,6.82,TWO,EQUITY,2599.TWO,2599.TWO,Le Young,"Le Young Construction Co., Ltd.",1340240400,Asia/Taipei,CST,28800000,15.2,none,1093678976,11.101,59715000,1515000,3.602,6.426,324699008,0.076,3.296,0.014889999,0.027560001,116312000,58136248,76322000,-0.02,1.52,0.32083,0.18391001,0.17111999,TWD,
