,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1632 Dickson Avenue,Suite 335,Kelowna,BC,V1Y 7T2,Canada,250 717 1845,https://www.damaragoldcorp.com,Gold,Basic Materials,"Damara Gold Corp. engages in the acquisition, exploration, and development of mineral properties in Canada. The company primarily explores for gold. It acquires a 75% interest in the Placer Mountain property that includes 22 mineral claims covering an area of approximately 8,955 hectares located to the south of Princeton, British Columbia. The company was formerly known as Solomon Resources Limited and changed its name to Damara Gold Corp. in September 2014. Damara Gold Corp. was incorporated in 1989 and is headquartered in Kelowna, Canada.","{'maxAge': 1, 'name': 'Mr. Lawrence J. Nagy B.A., B.A. Geology', 'age': 80, 'title': 'Pres, CEO & Director', 'yearBorn': 1942, 'fiscalYear': 2022, 'totalPay': 44262, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.643299,5100,5100,6037,566,566,1355812,0.015,0.045,0.019442,0.0265765,0.0,0.0,USD,1048287,0.0,61496358,73515400,0.16375,0.0,0.036,0.4166667,1659225600,1690761600,1682812800,-195378,-0.0,PNK,EQUITY,SLMZF,SLMZF,DAMARA GOLD CORP,Damara Gold Corp.,1412170200,America/New_York,EDT,-14400000,0.015,none,54443,0.001,0,1.429,1.47,-0.047930002,-0.0735,-254049,6720,0.0,0.0,0.0,CAD,
1,1632 Dickson Avenue,Suite 335,Kelowna,BC,V1Y 7T2,Canada,250 717 1845,https://www.damaragoldcorp.com,Gold,Basic Materials,"Damara Gold Corp. engages in the acquisition, exploration, and development of mineral properties in Canada. The company primarily explores for gold. It acquires a 75% interest in the Placer Mountain property that includes 22 mineral claims covering an area of approximately 8,955 hectares located to the south of Princeton, British Columbia. The company was formerly known as Solomon Resources Limited and changed its name to Damara Gold Corp. in September 2014. Damara Gold Corp. was incorporated in 1989 and is headquartered in Kelowna, Canada.","{'maxAge': 1, 'name': 'Ms. Terese J. Gieselman', 'age': 59, 'title': 'Corp. Sec. & CFO', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 35330, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,0.643299,5100,5100,6037,566,566,1355812,0.015,0.045,0.019442,0.0265765,0.0,0.0,USD,1048287,0.0,61496358,73515400,0.16375,0.0,0.036,0.4166667,1659225600,1690761600,1682812800,-195378,-0.0,PNK,EQUITY,SLMZF,SLMZF,DAMARA GOLD CORP,Damara Gold Corp.,1412170200,America/New_York,EDT,-14400000,0.015,none,54443,0.001,0,1.429,1.47,-0.047930002,-0.0735,-254049,6720,0.0,0.0,0.0,CAD,
