,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Ms. Sandra Brophy Cochran', 'age': 64, 'title': 'Pres, CEO & Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 2085281, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
1,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Mr. Craig A. Pommells', 'age': 47, 'title': 'Interim Principal Accounting Officer, Sr. VP & CFO', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 565481, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
2,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Mr. Richard M. Wolfson J.D.', 'age': 55, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 635072, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
3,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Ms. Laura A. Daily', 'age': 59, 'title': 'Sr. VP and Chief of Merchant & Retail Supply Chain', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 541352, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
4,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Ms. Cammie  Spillyards-Schaefer', 'title': 'Sr. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
5,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Mr. Bruce A. Hoffmeister', 'age': 61, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
6,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Jessica  Hazel', 'title': 'Sr. Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
7,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Sherri L. Moore', 'title': 'VP of Sales & Retail Services', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
8,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Ms. Donna L. Roberts', 'age': 47, 'title': 'Sr. VP & Chief HR Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
9,305 Hartmann Drive,Lebanon,TN,37087-4779,United States,615 444 5533,https://www.crackerbarrel.com,Restaurants,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc. develops and operates the Cracker Barrel Old Country Store concept in the United States. The company's Cracker Barrel stores consist of a restaurant with a gift shop. Its restaurants serve breakfast, lunch, and dinner, as well as dine-in, pick-up, and delivery services. The company's gift shops comprise various decorative and functional items, such as rocking chairs, seasonal gifts, apparel, toys, cookware, and various other gift items, as well as various candies, preserves, and other food items. The company was founded in 1969 and is headquartered in Lebanon, Tennessee.","{'maxAge': 1, 'name': 'Mr. Mark  Spurgin', 'title': 'Sr. VP of Sourcing & Supply Chain and Chief Restaurant Supply Chain Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,4,7,4,1693526400,1672444800,86400,2,70.53,70.53,68.86,70.875,70.53,70.53,68.86,70.875,5.2,0.0749,1697673600,1.1685,3.46,1.346818,15.602248,11.610368,1017887,1017887,539306,863210,863210,69.07,69.99,1100,900,1538124416,68.71,121.17,0.4467645,86.9252,100.2611,5.2,0.07372749,USD,2630296064,0.028770002,19791827,22153600,1679210,1893403,1690761600,1693440000,0.0758,0.01929,0.98480004,3.75,0.099,21.84,3.1790292,1690502400,1722124800,1690502400,0.123,99050000,4.45,5.98,1.21,3:2,732758400,0.764,11.001,NMS,EQUITY,CBRL,CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",373818600,America/New_York,EDT,-14400000,69.43,100.0,66.0,80.13,77.0,3.2,hold,8,25147000,1.135,239100992,1117316992,0.114,0.577,3442808064,230.934,155.306,0.03728,0.19903,1106522000,119747248,250456992,0.15,0.008,0.3214,0.06945,0.039100002,USD,
