,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. David Michael Einhorn', 'age': 53, 'title': 'Co-Founder & Chairman', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 125000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
1,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. James R. Brickman', 'age': 70, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 4610850, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
2,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Richard A. Costello', 'age': 63, 'title': 'CFO, Treasurer & Sec.', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 894178, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
3,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Jed  Dolson', 'age': 44, 'title': 'COO & Exec. VP', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 2179050, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
4,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Neal J. Suit', 'age': 46, 'title': 'Exec. VP, Gen. Counsel and Chief Risk & Compliance Officer', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 493091, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
5,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Keith  Johnson', 'title': 'Sr. VP of Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
6,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Ms. Heidi  Haas', 'title': 'Director of HR & Corp. Culture', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
7,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Warren S. Jolly', 'title': 'Pres of The Providence Group', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
8,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Trevor  Brickman', 'title': 'Pres of Centre Living Homes', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
9,2805 Dallas Parkway,Suite 400,Plano,TX,75093-8722,United States,(469) 573-6755,https://greenbrickpartners.com,Residential Construction,Consumer Cyclical,"Green Brick Partners, Inc. is a diversified homebuilding and land development company that operates in Texas, Georgia, and Florida and has a non-controlling interest in a Colorado homebuilder, Challenger Homes, located in Colorado Springs. Green Brick owns five subsidiary homebuilders in Texas (CB JENI Homes, Normandy Homes, Southgate Homes, Trophy Signature Homes, and a 90% interest in Centre Living Homes), as well as a controlling interest in a homebuilder in Atlanta, Georgia (The Providence Group) and an 80% interest in a homebuilder in Port St. Lucie, Florida (GHO Homes). Green Brick also retains interests in related financial services platforms, including Green Brick Title and BHome Mortgage. The Company is engaged in all aspects of the homebuilding process, including land acquisition and development, entitlements, design, construction, marketing, and sales for its residential neighborhoods and master-planned communities.",550,"{'maxAge': 1, 'name': 'Mr. Bill  Handler', 'title': 'Pres of GHO Homes', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,3,1,2,1693526400,1672444800,86400,2,44.84,44.2,42.53,44.42,44.84,44.2,42.53,44.42,0.0,1.620677,7.7721515,6.3674073,1301841,1301841,422617,560840,560840,42.89,50.25,1000,1000,1950363648,19.52,59.3,1.1161627,51.3136,40.4332,0.0,0.0,USD,2188792576,0.15367,29759337,45378400,1740591,1928048,1690761600,1693440000,0.038399998,0.07613,0.93035007,4.47,0.0684,24.822,1.7315284,1672444800,1703980800,1688083200,-0.257,265642000,5.53,6.75,4.25,1532:1000,1411516800,1.253,6.571,NYQ,EQUITY,GRBK,GRBK,"Green Brick Partners, Inc.","Green Brick Partners, Inc.",1182346200,America/New_York,EDT,-14400000,42.98,60.0,45.0,52.5,52.5,3.0,hold,2,209595008,4.619,333086016,351172992,0.951,7.283,1747383040,28.709,38.135,0.12269,0.2635,523025000,174905504,251424000,-0.216,-0.131,0.29376,0.19062,0.189,USD,
