,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. Howard Carl Heckes', 'age': 57, 'title': 'Pres, CEO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1997490, 'exercisedValue': 0, 'unexercisedValue': 1333990}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
1,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. Russell T. Tiejema', 'age': 53, 'title': 'Exec. VP & CFO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 962761, 'exercisedValue': 0, 'unexercisedValue': 305656}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
2,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. Randal A. White', 'age': 51, 'title': 'Sr. VP of Global Operations & Supply Chain', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 754371, 'exercisedValue': 0, 'unexercisedValue': 41193}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
3,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. Robert A. Paxton', 'age': 48, 'title': 'Sr. VP of HR', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 731947, 'exercisedValue': 0, 'unexercisedValue': 38514}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
4,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. Christopher O. Ball', 'age': 43, 'title': 'Pres of Global Residential', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1237785, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
5,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Ms. Katie  Shellabarger', 'title': 'VP &  Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
6,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. Daniel J. Shirk', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
7,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Marcus  Devlin', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
8,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Mr. James C. Pelletier', 'age': 44, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
9,1242 East 5th Avenue,Tampa,FL,33605,United States,813 877 2726,813 739 0204,https://www.masonite.com,Building Products & Equipment,Industrials,"Masonite International Corporation designs, manufactures, markets, and distributes interior and exterior doors for the new construction and repair, renovation, and remodeling sectors of the residential and non-residential building construction markets worldwide. It offers molded panel, flush, stile and rail, steel, and fiberglass residential doors, as well as medium-density fiberboard (MDF) and architectural interior doors. The company also provides various door components, including interior door facings, agri-fiber and particleboard door cores, MDF and wood cut-stock components, critical door components, and mineral and particleboard door cores. It offers its products under the Masonite, Premdor, Masonite Architectural, Marshfield-Algoma, USA Wood Door, Solidor, Residor, Nicedor, Door-Stop International, Harring Doors, National Hickman, Graham-Maiman, Louisiana Millwork, Florida Made Door, Baillargeon, and BWI brands to remodeling contractors, builders, homeowners, retailers, dealers, lumberyards, commercial and general contractors, and architects through wholesale, retail, and direct distribution channels. The company was founded in 1925 and is headquartered in Tampa, Florida.",10000,"{'maxAge': 1, 'name': 'Lori  Conrad', 'title': 'Director of External Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,3,5,3,3,1693526400,1672444800,86400,2,96.89,96.01,94.1,96.01,96.89,96.01,94.1,96.01,0.0,1.754429,12.200257,10.121406,187297,187297,111022,106310,106310,91.76,95.12,800,1000,2091203200,65.71,109.58,0.72827077,102.1234,92.176,0.0,0.0,USD,3135443200,0.060900003,21727066,22003400,480687,399729,1690761600,1693440000,0.0218,0.011720001,1.03713,4.11,0.0247,37.237,2.5523002,1672531200,1704067200,1688256000,-0.176,174872000,7.79,9.39,0.97,1.092,7.905,NYQ,EQUITY,DOOR,DOOR,Masonite International Corporat,Masonite International Corporation,1248442200,America/New_York,EDT,-14400000,95.04,133.0,106.0,122.13,124.0,1.6,buy,8,317156992,14.414,396656000,1309900032,1.741,2.857,2871463936,157.852,129.376,0.07467,0.23945,673895000,173825632,372895008,-0.163,-0.026,0.22951001,0.13814001,0.10199001,USD,
