,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Wesley  Cummins', 'age': 44, 'title': 'Chairman, CEO, Pres, Sec. & Treasurer', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 5954578, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
1,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. David  Rench', 'age': 44, 'title': 'Chief Financial Officer', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 2710245, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
2,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Michael  Maniscalco', 'age': 42, 'title': 'Chief Technology Officer', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 1147441, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
3,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Jason  Zhang', 'age': 28, 'title': 'Co-Founder', 'yearBorn': 1994, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
4,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Nick  Phillips', 'title': 'Exec. VP of Hosting Operations & Public Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
5,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. John  Browder', 'title': 'Director of HR and Recruiting', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
6,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Etienne  Snyman', 'title': 'Exec. VP of Power', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
7,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Saidal  Mohmand', 'title': 'Exec. VP of Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
8,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Roland  Davidson', 'title': 'Exec. VP of Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
9,3811 Turtle Creek Boulevard,Suite 2100,Dallas,TX,75219,United States,214 427 1704,https://applieddigital.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"Applied Digital Corporation designs, develops, and operates datacenters in North America. Its datacenters provide digital infrastructure solutions to the high-performance computing industry. The company also provides artificial intelligence cloud services, high performance computing datacenter hosting, and crypto datacenter hosting services. The company was formerly known as Applied Blockchain, Inc. and changed its name to Applied Digital Corporation in November 2022. Applied Digital Corporation is based in Dallas, Texas.",121,"{'maxAge': 1, 'name': 'Mr. Brad  Barton', 'title': 'EVP of Real Estate Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",10,8,9,5,8,1693526400,1703980800,86400,2,5.4,5.33,5.07,5.39,5.4,5.33,5.07,5.39,0.0,4.044951,4.046154,5451284,5451284,6139027,2783030,2783030,5.15,5.22,800,900,546777024,1.45,11.62,9.871047,7.1605,4.746125,0.0,0.0,USD,593631872,-0.806,55121539,103950000,12958032,10406687,1690761600,1693440000,0.1247,0.37803,0.38658002,3.92,0.16350001,103950000,0.62,8.483871,1685491200,1717113600,1685491200,-44646000,-0.48,1.3,1:6,1649808000,10.717,-17.202,1.5288463,0.14113986,NMS,EQUITY,APLD,APLD,Applied Digital Corporation,Applied Digital Corporation,1649856600,America/New_York,EDT,b6f3f33e-e6a3-3625-aba2-00d4d8143fb7,finmb_3563673,-14400000,5.26,20.0,13.0,17.08,17.75,2.0,buy,6,28999000,0.293,-34510000,91810000,0.252,0.396,55392000,131.761,0.589,-0.13600999,-0.61250997,-59674124,58735000,1.929,0.20071,-0.62301,-0.75421,USD,
