,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,595 Burrard Street,Suite 3123,Vancouver,BC,V7X 1J1,Canada,604 559 4440,604 559 4443,https://www.klondikegoldcorp.com,Gold,Basic Materials,"Klondike Gold Corp., a resource exploration company, engages in the acquisition, exploration, and development of mineral properties in Canada. The company primarily explores for gold. It focuses on its 100% owned Klondike District Gold Project located in Dawson City, Yukon. The company was formerly known as Arbor Resources Inc. and changed its name to Klondike Gold Corp. in January 1996. The company was incorporated in 1978 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Peter T. Tallman P.Geo.', 'age': 61, 'title': 'Pres, CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 150000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.0,1.065808,200,200,48025,27490,27490,0.08,0.085,0,0,15310456,0.08,0.15,0.0902,0.1022,0.0,0.0,CAD,13597098,0.0,164086875,180123008,54042,76106,1690761600,1693440000,0.00029999999,0.16861999,0.0044400003,1.22,0.171,0.497076,1677542400,1709078400,1685491200,-1214833,-0.01,0.0,1:10,1406505600,-10.031,VAN,EQUITY,KG.V,KG.V,KLONDIKE GOLD CORP,Klondike Gold Corp.,839511000,America/Toronto,EDT,-14400000,0.085,0.75,0.4,0.57,0.57,2.0,buy,2,1985755,0.011,-1355464,272377,4.131,4.455,0.883,-0.027390001,-0.040549997,-2450876,-862528,0.0,0.0,0.0,CAD,
1,595 Burrard Street,Suite 3123,Vancouver,BC,V7X 1J1,Canada,604 559 4440,604 559 4443,https://www.klondikegoldcorp.com,Gold,Basic Materials,"Klondike Gold Corp., a resource exploration company, engages in the acquisition, exploration, and development of mineral properties in Canada. The company primarily explores for gold. It focuses on its 100% owned Klondike District Gold Project located in Dawson City, Yukon. The company was formerly known as Arbor Resources Inc. and changed its name to Klondike Gold Corp. in January 1996. The company was incorporated in 1978 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Ms. Jasvir Kaur Kaloti', 'age': 51, 'title': 'CFO & Corp. Sec.', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.0,1.065808,200,200,48025,27490,27490,0.08,0.085,0,0,15310456,0.08,0.15,0.0902,0.1022,0.0,0.0,CAD,13597098,0.0,164086875,180123008,54042,76106,1690761600,1693440000,0.00029999999,0.16861999,0.0044400003,1.22,0.171,0.497076,1677542400,1709078400,1685491200,-1214833,-0.01,0.0,1:10,1406505600,-10.031,VAN,EQUITY,KG.V,KG.V,KLONDIKE GOLD CORP,Klondike Gold Corp.,839511000,America/Toronto,EDT,-14400000,0.085,0.75,0.4,0.57,0.57,2.0,buy,2,1985755,0.011,-1355464,272377,4.131,4.455,0.883,-0.027390001,-0.040549997,-2450876,-862528,0.0,0.0,0.0,CAD,
