,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Yaomeng  Xiao', 'age': 50, 'title': 'GM & Non-Independent Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 266834, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
1,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Qingchun  Zhao EMBA', 'age': 54, 'title': 'CFO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 201706, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
2,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Lei  Zhang CPA, Ph.D.', 'age': 50, 'title': 'Chief Investment Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 127921, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
3,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Jian  Liu', 'age': 53, 'title': 'MD & Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
4,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Junpeng  Ma', 'age': 49, 'title': 'Chief Engineer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 93982, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
5,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Dan  Kang', 'age': 42, 'title': 'Chief Safety Officer', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 77494, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
6,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Xiaolong  Huang', 'age': 45, 'title': 'Joint Company Sec. & Non-Independent Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 148531, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
7,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Jiaqiang  You', 'age': 52, 'title': 'Vice Gen. Mang.', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 11953, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
8,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Jiuhong  Wang', 'age': 46, 'title': 'Vice Gen. Mang.', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 198683, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
9,949 Fushan South Road,Zoucheng,273500,China,86 53 7538 2319,86 53 7538 3311,https://www.yanzhoucoal.com.cn,Thermal Coal,Energy,"Yankuang Energy Group Company Limited engages in the mining, preparation, and sale of coal worldwide. It offers thermal, PCI, and coking coal for electric power, metallurgy and chemical industry, etc.; manufactures, installs, repairs, and sells mining equipment and machinery; manufactures and sells coal mining and excavating equipment, cable, and rubber products; produces and sells chemicals and Fischer-Tropsch synthesis catalyst; explores for potash mineral; and sells coal mine machinery equipment and accessories, construction materials, petroleum products, and mineral products. The company also provides electricity and related heat supply; railway, river, and lakes transportation; coal mining technology development, transfer, and consultation; underground mines and coal mine management; supply chain management; engineering; water pollution control; equity investment fund and corporate asset management, investment advisory and management, foreign investment fund, import and export, and international trading; solar and wind power, and production management; educational software development and event planning; rental; and financial services, as well as operates as a trade broker and agent. In addition, it engages in the thermal power generation; development of methanol projects; processing, sale, and transportation of coal; coal resource exploration development; port infrastructure construction, operation, and management; LTCC technology development and equipment rental operations; house and financial leasing; wholesale of coal and non-ferrous metals; real estate development and operation, and property management; logistics storage and leasing; factoring; and investment and management of mineral resources. The company was formerly known as Yanzhou Coal Mining Company Limited and changed its name to Yankuang Energy Group Company Limited in December 2021. Yankuang Energy Group Company Limited was founded in 1973 and is based in Zoucheng, the People's Republic of China. Yankuang Energy Group Company Limited operates as a subsidiary of Shandong Energy Group Co., Ltd.",64279,"{'maxAge': 1, 'name': 'Mr. Li  Su', 'age': 50, 'title': 'Staff Representative Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,7,1,10,4,1693526400,1672444800,86400,4,1.724,1.684,1.684,1.688,1.724,1.684,1.684,1.688,0.39,0.22629999,1688515200,0.8104,8.47,0.601351,3.444898,7500,7500,1155,1300,1300,1.69,1.752,1000000,1000000,16673152000,1.214,2.724666,0.09015175,1.387,1.7639598,2.047,1.1873549,EUR,82195914752,0.124069996,3204057817,2849999872,0.35919997,0.37363,9.719,0.17368042,1672444800,1703980800,1688083200,-0.599,22946607104,0.49,16:10,1117065600,0.444,1.411,FRA,EQUITY,YZCA.F,YZCA.F,YANKUANG ENERGY GR.H YC 1,Yankuang Energy Group Company Limited,996127200,Europe/Berlin,CEST,7200000,1.688,none,53636816896,7.298,58245726208,89565437952,0.743,0.995,184945410048,76.747,25.219,0.09691,0.25776,81972836000,24837003264,48712945664,-0.595,-0.323,0.3725,0.31493,0.25463,CNY,
