,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Buyukdere Cad. No:141 K:22 34394,Esentepe-Sisli,Istanbul,34394,Turkey,90 212 348 57 45,90 212 336 61 84,https://www.denizgyo.com.tr,REIT—Diversified,Real Estate,"Deniz Gayrimenkul Yatirim Ortakligi A.S. operates as a real estate investment trust in Turkey. The company engages in real estate investment and development activities. Its property portfolio consists of residential, hotel, and commercial units primarily in Istanbul, Ankara, and Bodrum. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was incorporated in 1995 and is based in Istanbul, Turkey. Deniz Gayrimenkul Yatirim Ortakligi A.S. operates as a subsidiary of Deniz Yatirim Menkul Kiymetler A.S.",12,"{'maxAge': 1, 'name': 'Mr. Mehmet  Çitil', 'age': 56, 'title': 'GM & Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.25,4.4,4.35,4.35,4.25,4.4,1369958400,0.0,1.273936,2.1979694,4083115,4083115,9141846,8431820,8431820,4.32,4.33,0,0,1732000000,2.34,4.95,3.914822,4.0722,3.3828,0.0,0.0,TRY,935853632,1.7546201,100316000,400000000,5.99367,0.0,4.045,1.0704573,1672444800,1703980800,1688083200,2.134,776280896,1.97,1:1000,1104710400,2.115,3.946,IST,EQUITY,DZGYO.IS,DZGYO.IS,DENIZ GMYO,Deniz Gayrimenkul Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,4.33,none,783336960,1.958,237164992,3190607,3.661,5.207,442421120,0.197,1.106,0.101210006,0.63106996,275992321,113346224,164555552,2.122,-0.74,0.60347,0.53606,0.53318,TRY,
1,Buyukdere Cad. No:141 K:22 34394,Esentepe-Sisli,Istanbul,34394,Turkey,90 212 348 57 45,90 212 336 61 84,https://www.denizgyo.com.tr,REIT—Diversified,Real Estate,"Deniz Gayrimenkul Yatirim Ortakligi A.S. operates as a real estate investment trust in Turkey. The company engages in real estate investment and development activities. Its property portfolio consists of residential, hotel, and commercial units primarily in Istanbul, Ankara, and Bodrum. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was incorporated in 1995 and is based in Istanbul, Turkey. Deniz Gayrimenkul Yatirim Ortakligi A.S. operates as a subsidiary of Deniz Yatirim Menkul Kiymetler A.S.",12,"{'maxAge': 1, 'name': 'Mr. Onur  Karahan', 'title': 'Assistant Gen. Mang. of Project Devel., Application & Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.35,4.35,4.25,4.4,4.35,4.35,4.25,4.4,1369958400,0.0,1.273936,2.1979694,4083115,4083115,9141846,8431820,8431820,4.32,4.33,0,0,1732000000,2.34,4.95,3.914822,4.0722,3.3828,0.0,0.0,TRY,935853632,1.7546201,100316000,400000000,5.99367,0.0,4.045,1.0704573,1672444800,1703980800,1688083200,2.134,776280896,1.97,1:1000,1104710400,2.115,3.946,IST,EQUITY,DZGYO.IS,DZGYO.IS,DENIZ GMYO,Deniz Gayrimenkul Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,4.33,none,783336960,1.958,237164992,3190607,3.661,5.207,442421120,0.197,1.106,0.101210006,0.63106996,275992321,113346224,164555552,2.122,-0.74,0.60347,0.53606,0.53318,TRY,
