,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. Aristidis Eleftherios Anagnostaras-Adams BCom., MBA', 'age': 65, 'title': 'Exec. Chairman & MD', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 315000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
1,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. John Edward Leach BArts (Econ), MBA, ACA, CA, FAICDCA', 'age': 72, 'title': 'Fin. Director & Director', 'yearBorn': 1950, 'fiscalYear': 2022, 'totalPay': 205000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
2,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. Eddy  Solbrandt', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
3,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Rob  Williams', 'title': 'Corp. Devel. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
4,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. Brian C. Hosking MBA', 'title': 'CEO of Saudi Arabia', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
5,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. Norman  Green', 'title': 'Head of Projects', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
6,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Timothy  Eatwell', 'title': 'Sr. Geologist', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
7,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. Theron  Brand', 'title': 'Managing Director of Tulu Kapi Gold Mine', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
8,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Laki  Catsamas', 'title': 'Financial Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
9,Wisdom Tower,1st Floor 2 Ayiou Pavlou & Kadmou Street,Nicosia,1105,Cyprus,357 2 2256161,https://www.kefi-minerals.com,Gold,Basic Materials,"KEFI Gold and Copper Plc engages in the exploration and development of gold and copper deposits in the Arabian-Nubian Shield. The company primarily focuses on developing the Tulu Kapi Gold Project located in Ethiopia. It also explores for precious and base metals, and other minerals. The company was formerly known as Kefi Minerals Plc and changed its name to KEFI Gold and Copper Plc in August 2020. KEFI Gold and Copper Plc was incorporated in 2006 and is headquartered in Nicosia, Cyprus.",60,"{'maxAge': 1, 'name': 'Mr. Jeffrey Guy Rayner BSc Hons', 'age': 56, 'title': 'Adviser of Exploration Strategy', 'yearBorn': 1966, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.686,0.634,0.634,0.72,0.686,0.634,0.634,0.72,0.0,1.64527,-7.07,61559047,61559047,17054339,31808767,31808767,0.692,0.72,0,0,35103400,0.512,1.232,0.59196,0.720685,0.0,0.0,GBp,29810948,0.0,3756859779,4965120000,0.10499,0.06724,0.006,117.833336,1672444800,1703980800,1672444800,-6355000,-0.0,-0.1,1:17,1488412800,-9.586,LSE,EQUITY,KEFI.L,KEFI.L,KEFI GOLD AND COPPER PLC ORD 0.,KEFI Gold and Copper Plc,1166428800,Europe/London,BST,3600000,0.707,3.9,3.9,3.9,3.9,none,1,220000,0.0,-3110000,1289000,0.108,0.132,4.777,-0.06394,-0.25781,-7199125,-3161000,0.0,0.0,0.0,GBP,
