,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. James K. Kamsickas', 'age': 55, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2743036, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
1,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Timothy R. Kraus', 'age': 55, 'title': 'Sr. VP & CFO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 992321, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
2,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Douglas H. Liedberg', 'age': 54, 'title': 'Sr. VP, Gen. Counsel, Corp. Sec. and Chief Compliance & Sustainability Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 954373, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
3,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Aziz S. Aghili', 'age': 63, 'title': 'Exec. VP and Pres of Heavy Vehicle', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 542423, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
4,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Byron S. Foster', 'age': 54, 'title': 'Pres of Light Vehicle Drive Systems', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 978833, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
5,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Chris J. Clark', 'title': 'Sr. VP of Global Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
6,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. James D. Kellett', 'title': 'VP & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
7,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Christophe J. Dominiak', 'title': 'Sr. VP & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
8,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Ms. Andrea  Siudara', 'age': 49, 'title': 'Sr. VP & Chief Information Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
9,3939 Technology Drive,Maumee,OH,43537,United States,419 887 3000,https://www.dana.com,Auto Parts,Consumer Cyclical,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",42800,"{'maxAge': 1, 'name': 'Mr. Craig  Barber', 'title': 'Sr. Director of Investor Relations & Strategic Planning', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,4,2,2,1693526400,1672444800,86400,2,15.33,15.22,15.065,15.45,15.33,15.22,15.065,15.45,0.4,0.026099999,1691625600,2.17,2.48686,10.032895,2447264,2447264,1251680,1047370,1047370,15.01,15.25,800,1000,2201139200,11.17,19.75,0.20999229,17.0322,15.9491,0.4,0.02609263,USD,4975683072,-0.01994,143280263,144336992,5073609,4800135,1690761600,1693440000,0.0352,0.0070200004,0.99364996,4.22,0.0354,11.245,1.3561583,1672444800,1703980800,1688083200,2.75,-209000000,-1.47,1.52,0.24,1:2,1180656000,0.475,6.797,NYQ,EQUITY,DAN,DAN,Dana Incorporated,Dana Incorporated,1199284200,America/New_York,EDT,-14400000,15.25,21.0,17.0,18.57,18.0,2.7,hold,7,484000000,3.353,732000000,2976000000,0.849,1.592,10481999872,157.128,72.918,0.026619999,-0.13713999,763000000,138250000,599000000,2.727,0.063,0.08424,0.06983,0.03244,USD,
