,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2010-A Harbison Dr.,Suite 312 PMB #122,Vacaville,CA,95687,United States,707 291 6198,https://athenagoldcorp.com,Other Precious Metals & Mining,Other Precious Metals & Mining,Basic Materials,Basic Materials,"Athena Gold Corporation, an exploration stage company, engages in the acquisition and exploration of mineral resources in the United States. Athena Gold Corporation was formerly known as Athena Silver Corporation and changed its name to Athena Gold Corporation in January 2021. The company was incorporated in 2003 and is based in Vacaville, California.","{'maxAge': 1, 'name': 'Mr. John C. Power', 'age': 59, 'title': 'CEO, Pres, Sec. & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 30000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0425,0.045,0.0414,0.045,0.0425,0.045,0.0414,0.045,0.0,0.211618,107900,107900,17567,23950,23950,0.0,0.0,0,0,6234468,0.04,0.09,0.0544,0.05755,0.0,0.0,USD,5969586,0.0,45299399,150591008,0.69755995,0.0,150591008,0.034,1.217647,1672444800,1703980800,1688083200,-150761,-0.01,-0.3333333,0.14113986,PNK,EQUITY,AHNR,AHNR,ATHENA GOLD CORP,Athena Gold Corporation,1168439400,America/New_York,EDT,46fb7e92-2918-3976-9cf7-a93c4ebbdef3,finmb_13318862,-14400000,0.0414,none,316968,0.002,52070,0.979,1.214,1.022,-0.12072,-0.0307,-387624,-882634,0.0,0.0,0.0,USD,
1,2010-A Harbison Dr.,Suite 312 PMB #122,Vacaville,CA,95687,United States,707 291 6198,https://athenagoldcorp.com,Other Precious Metals & Mining,Other Precious Metals & Mining,Basic Materials,Basic Materials,"Athena Gold Corporation, an exploration stage company, engages in the acquisition and exploration of mineral resources in the United States. Athena Gold Corporation was formerly known as Athena Silver Corporation and changed its name to Athena Gold Corporation in January 2021. The company was incorporated in 2003 and is based in Vacaville, California.","{'maxAge': 1, 'name': 'Mr. Tyler J. Minnick CPA', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 21240, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0425,0.045,0.0414,0.045,0.0425,0.045,0.0414,0.045,0.0,0.211618,107900,107900,17567,23950,23950,0.0,0.0,0,0,6234468,0.04,0.09,0.0544,0.05755,0.0,0.0,USD,5969586,0.0,45299399,150591008,0.69755995,0.0,150591008,0.034,1.217647,1672444800,1703980800,1688083200,-150761,-0.01,-0.3333333,0.14113986,PNK,EQUITY,AHNR,AHNR,ATHENA GOLD CORP,Athena Gold Corporation,1168439400,America/New_York,EDT,46fb7e92-2918-3976-9cf7-a93c4ebbdef3,finmb_13318862,-14400000,0.0414,none,316968,0.002,52070,0.979,1.214,1.022,-0.12072,-0.0307,-387624,-882634,0.0,0.0,0.0,USD,
