,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. David E. Simon', 'age': 60, 'title': 'Chairman, CEO & Pres', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 29402916, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
1,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. Brian J. McDade', 'age': 43, 'title': 'Exec. VP & CFO', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 4343890, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
2,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. Adam J. Reuille', 'age': 47, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1894703, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
3,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. John  Rulli', 'age': 66, 'title': 'Chief Admin. Officer', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 2951997, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
4,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. Steven E. Fivel', 'age': 61, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 7449961, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
5,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. Steven K. Broadwater', 'age': 55, 'title': 'Sr. VP of Financial Reporting & Operations', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
6,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. Stanley  Shashoua', 'age': 51, 'title': 'Chief Investment Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
7,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Joseph W. Chiappetta', 'title': 'Sr. VP & Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
8,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Mr. Thomas  Ward', 'age': 53, 'title': 'Sr. VP of Investor Relations', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
9,225 West Washington Street,Indianapolis,IN,46204-3438,United States,317 636 1600,https://www.simon.com,REIT—Retail,Real Estate,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales.",2500,"{'maxAge': 1, 'name': 'Ali  Slocum', 'title': 'VP of PR', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,10,10,10,1693526400,1672444800,86400,2,58.35,57.695,56.61,57.885,58.35,57.695,56.61,57.885,4.19,0.0712,1694649600,6.29,1.558437,8.425557,2141,2141,461,733,733,52.22,57.45,1200,1000,48277991424,52.7,65.39,8.880942,58.586803,58.557243,7.2,0.12339332,USD,44435136512,0.39630002,324146273,0,1319,495,1690761600,1693440000,0.0,0.03839,3.34,8.65,6.601156,1672444800,1703980800,1688083200,-0.021,2150993920,6.777,8.174,11.302,NYQ,EQUITY,SPG-PJ,SPG-PJ,"Simon Property Group, Inc. Simo","Simon Property Group, Inc.",1103207400,America/New_York,EDT,-14400000,57.1,none,837465024,2.559,3931540992,25483673600,0.437,0.437,5436133888,722.484,16.62,0.0504,0.64829004,4290493000,2270751232,3831964928,-0.016,0.07,0.81291,0.72322,0.48878,USD,
