,address1,address2,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,averageVolume,averageVolume10days,averageDailyVolume10Day,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Mr. Apostolos-Evangelos  Vakakis', 'age': 68, 'title': 'Exec. Chairman', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
1,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Konstantina  Demiri', 'age': 64, 'title': 'CEO & Exec. Director', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
2,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Mr. Eleftherios  Themelis', 'age': 44, 'title': 'Head of Financial Services', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
3,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Mr. Panagiotis  Xiros', 'title': 'Head of the Accounting Department', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
4,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Amalia  Karamitsoli', 'age': 44, 'title': 'Head of Shareholder Service Unit & Corp. Announcements, Head of Investor Relations & Sec.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
5,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Paraskevi  Economou', 'age': 31, 'title': 'Head of Legal Department', 'yearBorn': 1991, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
6,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Sofia  Vakaki', 'age': 35, 'title': 'Head of Strategic Planning & Marketing Departments and Exec. Director', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
7,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Konstantina  Botsari', 'age': 56, 'title': 'Head of HR', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
8,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Vernadaki  Kalliopi', 'title': 'MD & Financial Director', 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
9,9 Cyprou Street and Hydras,Moschato,Athens,183 46,Greece,30 210 48 05 267,30 210 48 05 212,https://www.e-jumbo.gr,"Jumbo S.A. engages in the retail sale of toys, baby products, gift articles, household products, stationery, seasonal and decoration items, books, and related products in Greece, Cyprus, Bulgaria, and Romania. The company operates e-jumbo, an online store. It is involved in the wholesale of toys and related products to third parties. Jumbo S.A. was incorporated in 1986 and is headquartered in Athens, Greece.",5591,"{'maxAge': 1, 'name': 'Ms. Terzaki  Ioanna', 'age': 47, 'title': 'Head of Internal Audit Department', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",9,5,5,6,4,1693526400,86400,2,14.9813,14.9813,14.2,14.2,14.9813,14.9813,14.2,14.2,0.87012,92206,74983,74983,13.26,29.0,18.774303,18.774303,0.0,0.0,EUR,3212217600,0.26186,83376060,0.1936,0.39804,10.45,1.4336172,1672444800,1703980800,1672444800,0.138,248600992,3.383,9.798,LSE,EQUITY,0LRI.L,0LRI.L,Jumbo S.A.,1193990400,Europe/London,BST,3600000,14.9813,none,793711488,5.834,327836832,280612832,4.748,6.203,949380800,19.736,6.978,0.10184,0.18079,61776368,186940480,0.138,0.149,0.55461,0.34532002,0.31726998,EUR,
