,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,38-43 Lincoln's Inn Fields,London,WC2A 3PE,United Kingdom,44 20 7539 7272,https://www.metalsexploration.com,Gold,Basic Materials,"Metals Exploration plc identifies, acquires, explores for, and develop mining properties in Philippines. The company primarily explores for precious and base metals. It owns 100% interest in the Runruno gold project located north of the Philippines. The company was incorporated in 2004 and is based in London, the United Kingdom.",791,"{'maxAge': 1, 'name': 'Mr. Darren Patrick Bowden', 'age': 52, 'title': 'CEO & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1661897, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.05,2.0849,2.01,2.0849,2.05,2.0849,2.01,2.0849,0.0,1.316441,Infinity,1.7083333,1218769,1218769,1180349,1298644,1298644,1.9,2.2,0,0,42966768,0.8,2.475,0.3453615,1.9335,1.7304,0.0,0.0,GBp,124988280,0.07036,719590367,2095939968,0.67100996,0.09752,0.009,227.77779,1672444800,1703980800,1672444800,0.49,8753956,0.0,1.2,1.005,2.707,LSE,EQUITY,MTL.L,MTL.L,METALS EXPLORATION PLC ORD GBP0,Metals Exploration plc,1098428400,Europe/London,BST,3600000,2.05,2.73,2.73,2.73,2.73,none,1,861069,0.0,46170048,81984624,0.206,0.707,124410992,461.527,0.06,0.11844,0.6416,32743520,16708161,38189948,0.47,-0.009,0.26319,0.37111,0.19059,USD,
1,38-43 Lincoln's Inn Fields,London,WC2A 3PE,United Kingdom,44 20 7539 7272,https://www.metalsexploration.com,Gold,Basic Materials,"Metals Exploration plc identifies, acquires, explores for, and develop mining properties in Philippines. The company primarily explores for precious and base metals. It owns 100% interest in the Runruno gold project located north of the Philippines. The company was incorporated in 2004 and is based in London, the United Kingdom.",791,"{'maxAge': 1, 'name': 'Mr. Michael  Langoulant', 'title': 'Interim Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.05,2.0849,2.01,2.0849,2.05,2.0849,2.01,2.0849,0.0,1.316441,Infinity,1.7083333,1218769,1218769,1180349,1298644,1298644,1.9,2.2,0,0,42966768,0.8,2.475,0.3453615,1.9335,1.7304,0.0,0.0,GBp,124988280,0.07036,719590367,2095939968,0.67100996,0.09752,0.009,227.77779,1672444800,1703980800,1672444800,0.49,8753956,0.0,1.2,1.005,2.707,LSE,EQUITY,MTL.L,MTL.L,METALS EXPLORATION PLC ORD GBP0,Metals Exploration plc,1098428400,Europe/London,BST,3600000,2.05,2.73,2.73,2.73,2.73,none,1,861069,0.0,46170048,81984624,0.206,0.707,124410992,461.527,0.06,0.11844,0.6416,32743520,16708161,38189948,0.47,-0.009,0.26319,0.37111,0.19059,USD,
2,38-43 Lincoln's Inn Fields,London,WC2A 3PE,United Kingdom,44 20 7539 7272,https://www.metalsexploration.com,Gold,Basic Materials,"Metals Exploration plc identifies, acquires, explores for, and develop mining properties in Philippines. The company primarily explores for precious and base metals. It owns 100% interest in the Runruno gold project located north of the Philippines. The company was incorporated in 2004 and is based in London, the United Kingdom.",791,"{'maxAge': 1, 'name': 'Mr. John D. Barnes', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,2.05,2.0849,2.01,2.0849,2.05,2.0849,2.01,2.0849,0.0,1.316441,Infinity,1.7083333,1218769,1218769,1180349,1298644,1298644,1.9,2.2,0,0,42966768,0.8,2.475,0.3453615,1.9335,1.7304,0.0,0.0,GBp,124988280,0.07036,719590367,2095939968,0.67100996,0.09752,0.009,227.77779,1672444800,1703980800,1672444800,0.49,8753956,0.0,1.2,1.005,2.707,LSE,EQUITY,MTL.L,MTL.L,METALS EXPLORATION PLC ORD GBP0,Metals Exploration plc,1098428400,Europe/London,BST,3600000,2.05,2.73,2.73,2.73,2.73,none,1,861069,0.0,46170048,81984624,0.206,0.707,124410992,461.527,0.06,0.11844,0.6416,32743520,16708161,38189948,0.47,-0.009,0.26319,0.37111,0.19059,USD,
