,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Mr. Paul A. Keel', 'age': 52, 'title': 'CEO & Exec. Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2268932, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
1,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Ms. Clare  Scherrer', 'age': 54, 'title': 'CFO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 825923, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
2,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Ms. Jemma  Spalton', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
3,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Mr. James  Down', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
4,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Mr. Craig  Barry', 'title': 'VP of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
5,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Ms. Vera  Kirikova MBA', 'age': 48, 'title': 'Chief People Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
6,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Mr. Samit  Basu', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
7,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Mr. Keir  Boxshall', 'title': 'Head of Innovation', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
8,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'John D. Ostergren', 'title': 'Chief Sustainability Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
9,11-12 St James's Square,4th Floor,London,SW1Y 4LB,United Kingdom,44 20 7004 1600,44 20 7004 1644,https://www.smiths.com,Specialty Industrial Machinery,Industrials,"Smiths Group plc operates as a technology company serving the medical technology, security and defense, general industrial, energy, and space and aerospace markets worldwide. It operates through John Crane, Smiths Detection, Flex-Tek, and Smiths Interconnect divisions. The John Crane division offers mechanical seals, seal support systems, hydrodynamic bearings, packing materials, power transmission couplings, and specialized filtration systems. The Smiths Detection division provides sensors and systems that detect and identify explosives, narcotics, weapons, chemical agents, biohazards, and contraband. The Flex-Tek division offers engineered components that heat and move fluids and gases for the aerospace, medical, industrial, and construction markets. The Smiths Interconnect division provides specialized electronic and radio frequency board-level and waveguide devices, connectors, cables, test sockets, and sub-systems for applications in the security and defense, medical, general industrial, and space and aerospace markets. The company was formerly known as Smiths Industries and changed its name to Smiths Group plc in 2000. Smiths Group plc was founded in 1851 and is headquartered in London, the United Kingdom.",14764,"{'maxAge': 1, 'name': 'Ms. Diana J. Houghton', 'age': 58, 'title': 'Group Head of Strategy', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",3,3,1,1,2,1693526400,1672444800,86400,2,19.52,19.41,19.41,19.44,19.52,19.41,19.41,19.44,0.46,0.023699999,1680739200,15.2308,2.72,0.681306,648.00006,10,10,2,13,13,19.45,19.81,20000,20000,6764439552,16.5,20.4,2.3561265,19.0125,19.109924,0.402,0.020594262,EUR,7376068608,0.0069700005,355770020,347964992,0.0031400002,0.81863,6.941,2.8007493,1659225600,1690761600,1675123200,-0.903,-1000000,0.03,2.569,15.303,FRA,EQUITY,QS2A.F,QS2A.F,"SMITHS GROUP PLC LS -,375",Smiths Group plc,948697200,Europe/Berlin,CEST,7200000,19.44,none,795000000,2.23,482000000,1228000000,1.107,1.61,2871000064,49.179,7.816,0.04492,0.0,961000000,7000000,197000000,-0.892,0.256,0.36816,0.16788,0.13619,GBP,0.2831
